,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-05-31,268000000.0,4610000000.0,174607000000.0,145676000000.0,17022000000.0,320283000000.0,4178000000.0,768000000.0,137185000000.0,3628000000.0,-297000000.0,1673000000.0,52122000000.0,161950000000.0,1671000000.0,-59000000.0,185374000000.0,114150000000.0,18818000000.0,145408000000.0,5879000000.0,5574000000.0,53560000000.0,136532000000.0
2019-05-31,287000000.0,4610000000.0,147272000000.0,126289000000.0,14748000000.0,273561000000.0,4178000000.0,683000000.0,117829000000.0,3404000000.0,-328000000.0,1406000000.0,19022000000.0,133170000000.0,1404000000.0,-90000000.0,172816000000.0,80385000000.0,18667000000.0,126002000000.0,5653000000.0,7061000000.0,53289000000.0,110796000000.0
2018-05-31,295000000.0,4610000000.0,141720000000.0,108889000000.0,12087000000.0,250609000000.0,4178000000.0,1376000000.0,100426000000.0,3112000000.0,-325000000.0,423000000.0,21668000000.0,126436000000.0,420000000.0,-87000000.0,153976000000.0,78073000000.0,17842000000.0,108594000000.0,4627000000.0,8548000000.0,48749000000.0,105062000000.0
2017-05-31,215000000.0,4610000000.0,132638000000.0,93053000000.0,12446000000.0,225691000000.0,4178000000.0,1209000000.0,84575000000.0,3002000000.0,-310000000.0,265000000.0,27728000000.0,114132000000.0,264000000.0,-72000000.0,134450000000.0,73749000000.0,17012000000.0,92838000000.0,3387000000.0,11747000000.0,40038000000.0,91735000000.0
