,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable
2020-03-31,591650000000.0,728551000000.0,201223585000000.0,10874582000000.0,60296000000.0,2702675000000.0,212158463000000.0,2339965000000.0,6356725000000.0,5609854000000.0,3294870000000.0,243827000000.0,2196212000000.0,96424908000000.0,59407533000000.0,171767361000000.0,102198000000.0,3855038000000.0,2210196000000.0,1764611000000.0,89270735000000.0,23862732000000.0,10039105000000.0,15013908000000.0,1383143000000.0,25854185000000.0,138431418000000.0
2019-03-31,605977000000.0,726012000000.0,183730177000000.0,11279323000000.0,494123000000.0,2849580000000.0,195503623000000.0,2339443000000.0,5960972000000.0,5715101000000.0,2884878000000.0,215808000000.0,2498767000000.0,95404909000000.0,54883126000000.0,160005225000000.0,37073000000.0,1357779000000.0,2515069000000.0,1507786000000.0,77656703000000.0,20112440000000.0,10457538000000.0,11392906000000.0,1302938000000.0,20818173000000.0,134404652000000.0
2018-03-31,562177000000.0,863505000000.0,179679767000000.0,11262819000000.0,1232980000000.0,6456843000000.0,192175566000000.0,2338743000000.0,11872731000000.0,5149193000000.0,2882561000000.0,273725000000.0,2911378000000.0,89657268000000.0,51679783000000.0,158045820000000.0,19436000000.0,1142987000000.0,2923871000000.0,1510132000000.0,79283301000000.0,20888963000000.0,10426917000000.0,9786639000000.0,1263456000000.0,18744787000000.0,128461527000000.0
2017-03-31,670113000000.0,864052000000.0,179263698000000.0,10382282000000.0,1505001000000.0,2741888000000.0,191150981000000.0,2337896000000.0,5877889000000.0,4609496000000.0,2834356000000.0,426455000000.0,2570838000000.0,100024509000000.0,44512465000000.0,164078299000000.0,81961000000.0,2053138000000.0,2583751000000.0,2686055000000.0,67566019000000.0,19777830000000.0,9285714000000.0,10009721000000.0,1679362000000.0,12244119000000.0,130295290000000.0
