,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Net Receivables
2020-12-31,30054000.0,5707101000.0,2939647000.0,4766367000.0,18032000.0,11816546000.0,17458000.0,25040000.0,-914791000.0,174600000.0,-43401000.0,147675000.0,257560000.0,396506000.0,1851000.0,-43401000.0,10408571000.0,282600000.0,773046000.0,4561713000.0,2543141000.0,
2019-12-31,31336000.0,5710934000.0,2285777000.0,4997911000.0,16756000.0,11365444000.0,17442000.0,23811000.0,-665575000.0,174600000.0,-64890000.0,143033000.0,409743000.0,383284000.0,,-64890000.0,9807605000.0,441054000.0,767816000.0,4791975000.0,1902493000.0,7500000.0
2018-12-31,35256000.0,5718485000.0,1783542000.0,5094478000.0,25250000.0,10928270000.0,17413000.0,22801000.0,-577360000.0,174600000.0,-64060000.0,108296000.0,361218000.0,371259000.0,,-64060000.0,9442111000.0,384019000.0,783988000.0,4884622000.0,1412283000.0,
2017-12-31,40357000.0,5648399000.0,1768523000.0,4915009000.0,24360000.0,10732892000.0,17385000.0,22677000.0,-675711000.0,174600000.0,-75064000.0,107610000.0,433376000.0,337201000.0,11241000.0,-75064000.0,9230099000.0,456053000.0,724173000.0,4700052000.0,1431322000.0,
