,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2021-03-31,110456000000.0,53475000000.0,5913761000000.0,3642515000000.0,44094000000.0,566492000000.0,9600370000000.0,112000000000.0,2149639000000.0,3526766000000.0,820051000000.0,-49726000000.0,238940000000.0,340509000000.0,824087000000.0,238939000000.0,134647000000.0,53852000000.0,5176757000000.0,3023832000000.0,1050385000000.0,3532059000000.0,389600000000.0,102146000000.0,4269623000000.0,41938000000.0,70084000000.0
2020-03-31,91141000000.0,53486000000.0,5731024000000.0,3831833000000.0,40269000000.0,398551000000.0,9603126000000.0,112000000000.0,2490932000000.0,3755901000000.0,878437000000.0,-89554000000.0,176901000000.0,406408000000.0,625682000000.0,176899000000.0,90369000000.0,22061000000.0,4925199000000.0,3382682000000.0,1027203000000.0,3740692000000.0,353500000000.0,87919000000.0,4226905000000.0,43923000000.0,78825000000.0
2019-03-31,77571000000.0,53497000000.0,5787681000000.0,3471294000000.0,36770000000.0,400911000000.0,9295745000000.0,112000000000.0,2725383000000.0,3387569000000.0,930990000000.0,-81772000000.0,170576000000.0,587867000000.0,650260000000.0,170574000000.0,115893000000.0,35140000000.0,4706673000000.0,3630692000000.0,710233000000.0,3393723000000.0,158300000000.0,112784000000.0,4206431000000.0,46358000000.0,76348000000.0
2018-03-31,55659000000.0,53498000000.0,5823944000000.0,3055409000000.0,29329000000.0,378409000000.0,8908682000000.0,112000000000.0,2886282000000.0,2976434000000.0,980888000000.0,-86523000000.0,166439000000.0,469863000000.0,602823000000.0,166438000000.0,87447000000.0,35164000000.0,4544732000000.0,3804768000000.0,337084000000.0,2999750000000.0,308500000000.0,102007000000.0,4240233000000.0,38116000000.0,81240000000.0
