,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable
2021-03-31,240000000.0,27833000000.0,25542000000.0,165129000000.0,18771000000.0,190671000000.0,15000000000.0,4918000000.0,110529000000.0,4520000000.0,11767000000.0,214000000.0,11995000000.0,21022000000.0,212000000.0,13131000000.0,40781000000.0,33739000000.0,115697000000.0,164889000000.0,5238000000.0,11244000000.0,344000000.0,300000000.0
2020-03-31,191000000.0,26881000000.0,25447000000.0,122346000000.0,8032000000.0,147793000000.0,15000000000.0,4639000000.0,88758000000.0,1357000000.0,-8293000000.0,4348000000.0,12890000000.0,24090000000.0,4346000000.0,-6257000000.0,40743000000.0,29963000000.0,72548000000.0,122155000000.0,337000000.0,11946000000.0,151000000.0,1642000000.0
2019-03-31,144000000.0,26389000000.0,9908000000.0,119284000000.0,7127000000.0,129192000000.0,15000000000.0,4054000000.0,80404000000.0,951000000.0,-2509000000.0,3169000000.0,7056000000.0,8957000000.0,3168000000.0,79000000.0,28764000000.0,19773000000.0,77342000000.0,119140000000.0,126000000.0,8354000000.0,183000000.0,565000000.0
2018-03-31,190000000.0,26175000000.0,13125000000.0,116242000000.0,8974000000.0,129367000000.0,15000000000.0,3848000000.0,73269000000.0,2097000000.0,1798000000.0,289000000.0,6626000000.0,11028000000.0,287000000.0,3064000000.0,29413000000.0,19631000000.0,79844000000.0,116052000000.0,,8967000000.0,190000000.0,843000000.0
