,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Term Investments
2020-06-30,23792000000.0,64194000000.0,73822000000.0,45624000000.0,357000000.0,4031000000.0,120700000000.0,4009000000.0,100239000000.0,16657000000.0,39901000000.0,-122818000000.0,7411000000.0,16181000000.0,32976000000.0,2508000000.0,-17245000000.0,21542000000.0,27987000000.0,67000000.0,-18069000000.0,4178000000.0,23537000000.0,5498000000.0,12071000000.0,
2019-06-30,24215000000.0,63827000000.0,67516000000.0,46266000000.0,385000000.0,3132000000.0,115095000000.0,4009000000.0,94918000000.0,17110000000.0,40273000000.0,-116488000000.0,6694000000.0,4239000000.0,30011000000.0,3388000000.0,-16082000000.0,21271000000.0,22473000000.0,169000000.0,-18222000000.0,4951000000.0,20362000000.0,5017000000.0,11260000000.0,6048000000.0
2018-06-30,23902000000.0,63846000000.0,65427000000.0,51326000000.0,590000000.0,2964000000.0,118310000000.0,4009000000.0,98641000000.0,16327000000.0,45175000000.0,-115170000000.0,5172000000.0,2569000000.0,28237000000.0,1772000000.0,-15953000000.0,20600000000.0,23320000000.0,141000000.0,-17751000000.0,4686000000.0,20863000000.0,4738000000.0,10344000000.0,9281000000.0
2017-06-30,24187000000.0,63641000000.0,64628000000.0,54178000000.0,594000000.0,2720000000.0,120406000000.0,4009000000.0,96124000000.0,16380000000.0,44699000000.0,-109596000000.0,5001000000.0,5569000000.0,30210000000.0,1676000000.0,-15881000000.0,19893000000.0,26494000000.0,132000000.0,-14708000000.0,4594000000.0,18038000000.0,4624000000.0,9632000000.0,9568000000.0
