,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-26,46667000000.0,55096000000.0,49587000000.0,50103000000.0,140000000.0,1832000000.0,99830000000.0,12000000.0,2437000000.0,-2694000000.0,12981000000.0,33089000000.0,-2311000000.0,1814000000.0,3417000000.0,8061000000.0,152000000.0,-1967000000.0,7438000000.0,10822000000.0,-29653000000.0,2063000000.0,27954000000.0,2554000000.0,4304000000.0
2019-12-28,48652000000.0,56828000000.0,49701000000.0,51623000000.0,126000000.0,1394000000.0,101450000000.0,12000000.0,740000000.0,-3060000000.0,13156000000.0,35546000000.0,-2157000000.0,1558000000.0,2279000000.0,7875000000.0,994000000.0,-1886000000.0,7597000000.0,8097000000.0,-32575000000.0,1973000000.0,28058000000.0,2721000000.0,4003000000.0
2018-12-29,49468000000.0,58723000000.0,51683000000.0,51657000000.0,121000000.0,1537000000.0,103461000000.0,12000000.0,2597000000.0,-4853000000.0,13410000000.0,36503000000.0,-2225000000.0,1337000000.0,1130000000.0,7503000000.0,377000000.0,-1943000000.0,7078000000.0,9075000000.0,-34314000000.0,2281000000.0,30770000000.0,2667000000.0,4153000000.0
2017-12-30,59432000000.0,58634000000.0,54016000000.0,65863000000.0,213000000.0,1438000000.0,120092000000.0,12000000.0,655000000.0,8495000000.0,15554000000.0,44825000000.0,-1278000000.0,1573000000.0,1629000000.0,10154000000.0,2733000000.0,-1054000000.0,7061000000.0,7201000000.0,-38394000000.0,1812000000.0,28224000000.0,2760000000.0,4362000000.0
