,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2021-03-31,3293000000.0,19150000000.0,150575000000.0,295410000000.0,2836000000.0,37149000000.0,448821000000.0,24211000000.0,8288000000.0,244301000000.0,26722000000.0,7748000000.0,789000000.0,51970000000.0,113853000000.0,789000000.0,24765000000.0,117579000000.0,233248000000.0,93912000000.0,292117000000.0,105636000000.0,10000000000.0,67354000000.0,65921000000.0,
2020-03-31,3669000000.0,19252000000.0,144772000000.0,257501000000.0,2858000000.0,33840000000.0,405131000000.0,24211000000.0,7946000000.0,220379000000.0,22362000000.0,-6341000000.0,2713000000.0,32029000000.0,112410000000.0,2713000000.0,10840000000.0,114791000000.0,214447000000.0,69511000000.0,253832000000.0,101269000000.0,10000000000.0,73203000000.0,65691000000.0,
2019-03-31,3197000000.0,19240000000.0,165780000000.0,256464000000.0,2693000000.0,33284000000.0,424937000000.0,24211000000.0,4632000000.0,204767000000.0,23741000000.0,8246000000.0,801000000.0,37534000000.0,130039000000.0,801000000.0,25484000000.0,102323000000.0,227238000000.0,91378000000.0,253267000000.0,113947000000.0,12000000000.0,71125000000.0,82414000000.0,
2018-03-31,3355000000.0,19240000000.0,183977000000.0,257413000000.0,2527000000.0,26528000000.0,443917000000.0,24211000000.0,7660000000.0,190273000000.0,32713000000.0,23689000000.0,433000000.0,41666000000.0,139264000000.0,434000000.0,35934000000.0,115559000000.0,228710000000.0,95860000000.0,254058000000.0,115488000000.0,12000000000.0,63896000000.0,84003000000.0,10000000000.0
