,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,7580000000.0,8731000000.0,75000000.0,16311000000.0,934000000.0,139000000.0,411000000.0,1198000000.0,7386000000.0,415000000.0,495000000.0,950000000.0,120000000.0,150000000.0,7386000000.0,14287000000.0,1609000000.0,8731000000.0,532000000.0,5325000000.0,443000000.0,204000000.0
2019-12-31,8229000000.0,8177000000.0,24000000.0,16406000000.0,932000000.0,649000000.0,-3000000.0,953000000.0,7248000000.0,366000000.0,139000000.0,1006000000.0,72000000.0,,7248000000.0,14429000000.0,1611000000.0,8177000000.0,407000000.0,6147000000.0,416000000.0,246000000.0
2018-12-31,8203000000.0,9046000000.0,30000000.0,17249000000.0,933000000.0,405000000.0,1093000000.0,845000000.0,7020000000.0,689000000.0,334000000.0,1939000000.0,15000000.0,802000000.0,7020000000.0,14958000000.0,1602000000.0,9046000000.0,474000000.0,5419000000.0,389000000.0,222000000.0
2017-12-31,9160000000.0,8899000000.0,141000000.0,18059000000.0,944000000.0,98000000.0,1078000000.0,1763000000.0,6877000000.0,1239000000.0,824000000.0,1165000000.0,268000000.0,271000000.0,6877000000.0,15105000000.0,1715000000.0,8899000000.0,410000000.0,6232000000.0,383000000.0,249000000.0
