,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-05-20,1128000000.0,2169000000.0,104139000000.0,66225000000.0,18487000000.0,170364000000.0,1162000000.0,115000000.0,62908000000.0,4970000000.0,-14000000.0,2701000000.0,19310000000.0,66082000000.0,2700000000.0,6514000000.0,-13000000.0,83017000000.0,72230000000.0,11288000000.0,65097000000.0,14602000000.0,29047000000.0,38203000000.0,39757000000.0
2019-05-20,925000000.0,2135000000.0,81767000000.0,54443000000.0,14337000000.0,136210000000.0,1127000000.0,110000000.0,51090000000.0,4052000000.0,91000000.0,2285000000.0,8133000000.0,53714000000.0,2284000000.0,5289000000.0,92000000.0,71587000000.0,52257000000.0,9156000000.0,53518000000.0,11891000000.0,20998000000.0,32123000000.0,32977000000.0
2018-05-20,860000000.0,2087000000.0,73412000000.0,44308000000.0,12363000000.0,117720000000.0,1079000000.0,1651000000.0,40978000000.0,3355000000.0,164000000.0,1000000.0,13240000000.0,49394000000.0,,4736000000.0,164000000.0,57259000000.0,51106000000.0,8494000000.0,43448000000.0,9692000000.0,18549000000.0,26523000000.0,31190000000.0
2017-05-20,832000000.0,2038000000.0,59553000000.0,35836000000.0,9754000000.0,95389000000.0,1030000000.0,4524000000.0,32627000000.0,2719000000.0,141000000.0,2000000.0,6525000000.0,41336000000.0,,3683000000.0,141000000.0,46263000000.0,41334000000.0,6958000000.0,35004000000.0,8051000000.0,13552000000.0,22234000000.0,26838000000.0
