,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable,Long Term Debt
2020-03-31,12146000000.0,5924000000.0,30567000000.0,167594000000.0,343000000.0,12562000000.0,198504000000.0,5878000000.0,7695000000.0,157781000000.0,1728000000.0,12844000000.0,-1989000000.0,1552000000.0,43831000000.0,28839000000.0,1551000000.0,7227000000.0,5792000000.0,25421000000.0,126770000000.0,19771000000.0,142604000000.0,263000000.0,35147000000.0,39834000000.0,9050000000.0,
2019-03-31,11696000000.0,5924000000.0,32743000000.0,161433000000.0,190000000.0,15891000000.0,194366000000.0,5878000000.0,6120000000.0,146928000000.0,2345000000.0,13796000000.0,2703000000.0,771000000.0,30755000000.0,23164000000.0,769000000.0,,10484000000.0,25128000000.0,118528000000.0,24447000000.0,135941000000.0,6711000000.0,35222000000.0,39720000000.0,7273000000.0,7234000000.0
2018-03-31,6330000000.0,5924000000.0,34352000000.0,151202000000.0,208000000.0,15604000000.0,185762000000.0,5878000000.0,7896000000.0,134183000000.0,4972000000.0,,5217000000.0,140000000.0,57767000000.0,22139000000.0,138000000.0,,12996000000.0,18944000000.0,127332000000.0,33016000000.0,144872000000.0,4438000000.0,28887000000.0,28344000000.0,6535000000.0,7241000000.0
2017-03-31,6462000000.0,5413000000.0,27460000000.0,130743000000.0,203000000.0,8733000000.0,158406000000.0,5878000000.0,6934000000.0,119790000000.0,3407000000.0,,-338000000.0,90000000.0,53956000000.0,14014000000.0,89000000.0,31000000.0,9716000000.0,17870000000.0,111544000000.0,22440000000.0,124281000000.0,5570000000.0,17984000000.0,27100000000.0,5250000000.0,10039000000.0
