,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2021-03-31,47784000000.0,1711918000000.0,277101000000.0,12631000000.0,235373000000.0,2001650000000.0,114291000000.0,13757000000.0,130228000000.0,153518000000.0,-15202000000.0,40830000000.0,83767000000.0,333730000000.0,40822000000.0,3098000000.0,1650949000000.0,227839000000.0,82032000000.0,277101000000.0,99302000000.0,1224670000000.0,31013000000.0,48457000000.0,
2020-03-31,47786000000.0,1711680000000.0,234919000000.0,12461000000.0,97695000000.0,1959060000000.0,114291000000.0,7897000000.0,97537000000.0,154236000000.0,-24695000000.0,41832000000.0,57490000000.0,393210000000.0,41828000000.0,-6489000000.0,1656723000000.0,190133000000.0,70372000000.0,234919000000.0,88514000000.0,1164234000000.0,36232000000.0,42682000000.0,167062000000.0
2019-03-31,46153000000.0,1726565000000.0,216892000000.0,11524000000.0,131750000000.0,1954981000000.0,114291000000.0,13161000000.0,78155000000.0,152386000000.0,-21707000000.0,41149000000.0,71725000000.0,421949000000.0,41144000000.0,-3504000000.0,1641871000000.0,202681000000.0,69280000000.0,216892000000.0,75639000000.0,1152230000000.0,42156000000.0,41042000000.0,175872000000.0
2018-03-31,46750000000.0,1702918000000.0,201412000000.0,11578000000.0,105210000000.0,1915908000000.0,114291000000.0,20227000000.0,58611000000.0,130870000000.0,-18240000000.0,30815000000.0,116087000000.0,429771000000.0,30812000000.0,-43000000.0,1569337000000.0,244262000000.0,71494000000.0,201412000000.0,66691000000.0,1142277000000.0,41257000000.0,39329000000.0,211033000000.0
