,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2021-01-30,997000000.0,3461000000.0,39112000000.0,9576000000.0,-26000000.0,79000000.0,5441000000.0,48662000000.0,1918000000.0,1367000000.0,23018000000.0,4737000000.0,3076000000.0,-18821000000.0,656000000.0,1687000000.0,15366000000.0,844000000.0,-630000000.0,29182000000.0,12503000000.0,2248000000.0,5503000000.0,1781000000.0,11566000000.0,7063000000.0,6679000000.0
2020-02-01,1066000000.0,3337000000.0,36683000000.0,8602000000.0,-29000000.0,,3915000000.0,45256000000.0,1918000000.0,1179000000.0,20978000000.0,3805000000.0,3076000000.0,-17631000000.0,461000000.0,399000000.0,14243000000.0,1926000000.0,-640000000.0,28685000000.0,10890000000.0,1078000000.0,4460000000.0,1706000000.0,11349000000.0,7084000000.0,6349000000.0
2019-02-02,1258000000.0,3245000000.0,30283000000.0,7886000000.0,-51000000.0,,3568000000.0,38118000000.0,1918000000.0,1347000000.0,19681000000.0,3937000000.0,3087000000.0,-16958000000.0,527000000.0,429000000.0,14274000000.0,3103000000.0,-346000000.0,21635000000.0,10803000000.0,808000000.0,3541000000.0,1589000000.0,11248000000.0,6846000000.0,6059000000.0
2018-02-03,1100000000.0,3161000000.0,30292000000.0,6931000000.0,-26000000.0,,3416000000.0,37197000000.0,1918000000.0,1765000000.0,17007000000.0,4065000000.0,2925000000.0,-15155000000.0,370000000.0,347000000.0,14197000000.0,3509000000.0,-471000000.0,21071000000.0,11117000000.0,614000000.0,2906000000.0,1637000000.0,11279000000.0,6533000000.0,5858000000.0
