,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable
2020-12-31,90875000.0,5723326000.0,3876946000.0,5162972000.0,71476000.0,238890000.0,7740000.0,9111394000.0,3733000.0,128860000.0,264655000.0,-564087000.0,714556000.0,6309000.0,169786000.0,-564087000.0,7839166000.0,334899000.0,131898000.0,5072097000.0,199730000.0,3385051000.0,62332000.0
2019-12-31,96581000.0,5525463000.0,3340302000.0,5018115000.0,62145000.0,223863000.0,887000.0,8420562000.0,3680000.0,29003000.0,225687000.0,-511028000.0,661371000.0,110891000.0,152950000.0,-511028000.0,7104342000.0,425194000.0,133074000.0,4921534000.0,285300000.0,2914765000.0,68840000.0
2018-12-31,107716000.0,5244375000.0,3090781000.0,4658201000.0,55042000.0,206083000.0,,7804024000.0,3589000.0,182028000.0,250481000.0,-589763000.0,566899000.0,17901000.0,181799000.0,-589763000.0,6381332000.0,637282000.0,110795000.0,4550485000.0,437353000.0,2658501000.0,92288000.0
2017-12-31,88653000.0,5205316000.0,2813818000.0,4532844000.0,41534000.0,204029000.0,1163000.0,7388196000.0,3564000.0,320840000.0,249934000.0,-676036000.0,431016000.0,67562000.0,140993000.0,-676036000.0,5801069000.0,940971000.0,126487000.0,4444191000.0,552569000.0,2422891000.0,54545000.0
