,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Term Investments
2021-03-31,14736000000.0,42187000000.0,568231000000.0,344345000000.0,48000000.0,87114000000.0,912624000000.0,59023000000.0,8613000000.0,252952000000.0,63028000000.0,-9817000000.0,12124000000.0,76772000000.0,221791000000.0,12122000000.0,20000000000.0,9923000000.0,656717000000.0,159022000000.0,70025000000.0,329609000000.0,37996000000.0,283412000000.0,35641000000.0,16043000000.0,
2020-03-31,13340000000.0,42012000000.0,503238000000.0,373171000000.0,282000000.0,92660000000.0,876691000000.0,59023000000.0,8951000000.0,286271000000.0,61632000000.0,-14135000000.0,15746000000.0,39979000000.0,182712000000.0,15744000000.0,,5417000000.0,660131000000.0,125142000000.0,62332000000.0,359831000000.0,35240000000.0,258894000000.0,38972000000.0,16619000000.0,2000000000.0
2019-03-31,14049000000.0,42011000000.0,521320000000.0,367717000000.0,304000000.0,99817000000.0,889341000000.0,59023000000.0,6680000000.0,274501000000.0,61163000000.0,-7818000000.0,12414000000.0,38963000000.0,212780000000.0,12412000000.0,20000000000.0,11724000000.0,647687000000.0,148109000000.0,67082000000.0,353668000000.0,45099000000.0,247377000000.0,38167000000.0,19058000000.0,19200000000.0
2018-03-31,11525000000.0,42010000000.0,536921000000.0,351953000000.0,288000000.0,103323000000.0,889162000000.0,59023000000.0,9329000000.0,253392000000.0,60546000000.0,-2472000000.0,7664000000.0,50988000000.0,207482000000.0,7662000000.0,10000000000.0,17058000000.0,642985000000.0,153022000000.0,73966000000.0,340428000000.0,38982000000.0,268893000000.0,40223000000.0,18061000000.0,13500000000.0
