,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Deferred Long Term Asset Charges
2020-12-31,40539000000.0,88269000000.0,72163000000.0,1721000000.0,1981000000.0,13958000000.0,162153000000.0,36930000000.0,5978000000.0,49423000000.0,19879000000.0,54285000000.0,-14190000000.0,3967000000.0,8802000000.0,35848000000.0,550000000.0,-3783000000.0,16842000000.0,43376000000.0,-22661000000.0,19185000000.0,30962000000.0,9411000000.0,8639000000.0,
2019-12-31,24473000000.0,95289000000.0,41774000000.0,2552000000.0,1519000000.0,23739000000.0,139615000000.0,23019000000.0,34388000000.0,61594000000.0,9901000000.0,36609000000.0,-42839000000.0,1919000000.0,4937000000.0,46594000000.0,3258000000.0,-10213000000.0,11574000000.0,61577000000.0,-19308000000.0,13205000000.0,37625000000.0,9047000000.0,7816000000.0,
2018-12-31,26424000000.0,93492000000.0,38446000000.0,2273000000.0,914000000.0,7102000000.0,134211000000.0,22514000000.0,1511000000.0,57823000000.0,20932000000.0,48112000000.0,-41891000000.0,8852000000.0,6152000000.0,31368000000.0,2876000000.0,-9409000000.0,12297000000.0,35503000000.0,-36090000000.0,17757000000.0,41120000000.0,10083000000.0,11080000000.0,1646000000.0
2017-12-31,15883000000.0,65368000000.0,29610000000.0,1942000000.0,,5479000000.0,96920000000.0,17574000000.0,1397000000.0,55242000000.0,15988000000.0,27910000000.0,-43206000000.0,7711000000.0,8985000000.0,24391000000.0,2104000000.0,-7610000000.0,10186000000.0,32858000000.0,-14183000000.0,12595000000.0,24963000000.0,9881000000.0,9579000000.0,1723000000.0
