,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2020-03-31,9874000000.0,30962000000.0,299169000000.0,331965000000.0,22128000000.0,35766000000.0,653262000000.0,33046000000.0,17855000000.0,280265000000.0,44277000000.0,3306000000.0,-12308000000.0,11042000000.0,38748000000.0,211599000000.0,10035000000.0,-725000000.0,263056000000.0,306858000000.0,59126000000.0,318785000000.0,190000000.0,132807000000.0,43293000000.0,117258000000.0,73509000000.0,
2019-03-31,9443000000.0,32784000000.0,298863000000.0,337422000000.0,23302000000.0,37684000000.0,659587000000.0,33046000000.0,13919000000.0,272944000000.0,39829000000.0,3981000000.0,-1352000000.0,7966000000.0,40905000000.0,213912000000.0,6864000000.0,10249000000.0,251922000000.0,314245000000.0,72030000000.0,323998000000.0,232000000.0,146756000000.0,45122000000.0,112433000000.0,84797000000.0,10000000000.0
2018-03-31,6416000000.0,32799000000.0,294412000000.0,326485000000.0,20112000000.0,36801000000.0,641009000000.0,33046000000.0,18715000000.0,264963000000.0,43684000000.0,3476000000.0,-4323000000.0,2489000000.0,47647000000.0,194881000000.0,1259000000.0,14360000000.0,237475000000.0,311908000000.0,79245000000.0,316593000000.0,110000000.0,141222000000.0,55847000000.0,104214000000.0,84914000000.0,
2017-03-31,6929000000.0,32813000000.0,271351000000.0,305419000000.0,16130000000.0,30175000000.0,592900000000.0,33046000000.0,17337000000.0,248523000000.0,42014000000.0,3322000000.0,-8963000000.0,3912000000.0,41116000000.0,169001000000.0,2611000000.0,7790000000.0,225544000000.0,280439000000.0,72754000000.0,295168000000.0,110000000.0,125129000000.0,60336000000.0,96747000000.0,73058000000.0,
