,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Deferred Long Term Liab
2021-03-31,150825000000.0,96522000000.0,6359060000000.0,2535026000000.0,22334000000.0,1386636000000.0,8916420000000.0,200000000000.0,105837000000.0,2181570000000.0,1237031000000.0,56934000000.0,434542000000.0,197960000000.0,2032849000000.0,344825000000.0,90000000000.0,62487000000.0,7118147000000.0,898406000000.0,314500000000.0,2384201000000.0,307000000.0,506575000000.0,3089180000000.0,87727000000.0,52909000000.0,
2020-03-31,124280000000.0,96796000000.0,5363633000000.0,3146195000000.0,27231000000.0,1190093000000.0,8537059000000.0,200000000000.0,58411000000.0,2809369000000.0,1213656000000.0,40030000000.0,219260000000.0,153967000000.0,1549236000000.0,217781000000.0,120000000000.0,45576000000.0,6962034000000.0,857624000000.0,373861000000.0,3021915000000.0,,573719000000.0,2600741000000.0,71527000000.0,47981000000.0,
2019-03-31,109757000000.0,96796000000.0,5265299000000.0,3067173000000.0,27204000000.0,1062536000000.0,8359676000000.0,200000000000.0,66259000000.0,2705184000000.0,1224447000000.0,65193000000.0,211058000000.0,173908000000.0,1438975000000.0,209049000000.0,125000000000.0,70700000000.0,6692223000000.0,978775000000.0,367863000000.0,2957416000000.0,90010000000.0,586952000000.0,2601877000000.0,61646000000.0,64610000000.0,536000000.0
2018-03-31,112499000000.0,96729000000.0,5263124000000.0,2859330000000.0,25222000000.0,1013570000000.0,8147676000000.0,200000000000.0,98859000000.0,2496074000000.0,1259496000000.0,66527000000.0,178873000000.0,255102000000.0,1434356000000.0,176609000000.0,164999000000.0,71984000000.0,6500745000000.0,1003376000000.0,352183000000.0,2746831000000.0,60000000000.0,526904000000.0,2569272000000.0,62511000000.0,59536000000.0,197000000.0
