,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Capital Surplus
2021-03-31,11352000000.0,125294000000.0,121558000000.0,4526000000.0,33876000000.0,251378000000.0,18089000000.0,13271000000.0,104660000000.0,21219000000.0,5556000000.0,-1191000000.0,9886000000.0,36707000000.0,103337000000.0,9885000000.0,3832000000.0,44801000000.0,170108000000.0,9675000000.0,104650000000.0,75653000000.0,96000000.0,44477000000.0,46642000000.0,
2020-03-31,7714000000.0,102539000000.0,106901000000.0,3810000000.0,25973000000.0,213250000000.0,18089000000.0,10223000000.0,95296000000.0,19819000000.0,3517000000.0,-7014000000.0,8470000000.0,27571000000.0,82082000000.0,8469000000.0,-1969000000.0,42917000000.0,141770000000.0,8862000000.0,95670000000.0,70998000000.0,120000000.0,32978000000.0,35465000000.0,530000000.0
2019-03-31,5880000000.0,102663000000.0,109487000000.0,3634000000.0,23800000000.0,215784000000.0,18089000000.0,10240000000.0,92290000000.0,20038000000.0,4212000000.0,-1422000000.0,7930000000.0,35412000000.0,81990000000.0,7928000000.0,3622000000.0,38543000000.0,151729000000.0,7490000000.0,99395000000.0,79375000000.0,,26702000000.0,40987000000.0,530000000.0
2018-03-31,2691000000.0,102683000000.0,104515000000.0,3205000000.0,24135000000.0,210403000000.0,18089000000.0,12630000000.0,86013000000.0,19551000000.0,,-117000000.0,6001000000.0,42710000000.0,82744000000.0,6000000000.0,4927000000.0,35548000000.0,159102000000.0,7061000000.0,101824000000.0,75833000000.0,,27929000000.0,44747000000.0,530000000.0
