,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Capital Surplus,Good Will
2021-03-31,453456000000.0,1187047000000.0,552271000000.0,2496000000.0,106022000000.0,1741814000000.0,68418000000.0,20620000000.0,233808000000.0,186157000000.0,250045000000.0,91548000000.0,111061000000.0,586928000000.0,77939000000.0,164204000000.0,298655000000.0,465086000000.0,637773000000.0,93951000000.0,98815000000.0,13880000000.0,311795000000.0,366923000000.0,180417000000.0,299363000000.0,,
2020-03-31,260664000000.0,1556392000000.0,502165000000.0,32972000000.0,111364000000.0,2091529000000.0,68418000000.0,95090000000.0,217206000000.0,275985000000.0,-61579000000.0,88803000000.0,95862000000.0,715233000000.0,88803000000.0,90528000000.0,-12709000000.0,711885000000.0,742780000000.0,113959000000.0,68063000000.0,15428000000.0,308794000000.0,363379000000.0,227606000000.0,336492000000.0,278120000000.0,173438000000.0
2019-03-31,276183000000.0,1492377000000.0,533656000000.0,33511000000.0,173283000000.0,2059544000000.0,68418000000.0,96626000000.0,222095000000.0,200779000000.0,-34441000000.0,38374000000.0,141421000000.0,933614000000.0,38374000000.0,161122000000.0,14458000000.0,552759000000.0,891780000000.0,119549000000.0,76574000000.0,12612000000.0,406475000000.0,324931000000.0,234646000000.0,392357000000.0,277584000000.0,180899000000.0
2018-03-31,291277000000.0,1457558000000.0,616897000000.0,32676000000.0,114736000000.0,2107131000000.0,68121000000.0,206349000000.0,292797000000.0,315948000000.0,-21774000000.0,44852000000.0,138751000000.0,696690000000.0,44852000000.0,95095000000.0,27210000000.0,542330000000.0,912776000000.0,130534000000.0,140258000000.0,5577000000.0,344195000000.0,410255000000.0,217904000000.0,338964000000.0,277753000000.0,185362000000.0
