,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Deferred Long Term Asset Charges
2020-12-31,668021000.0,2121288000.0,8893533000.0,10788665000.0,443196000.0,260261000.0,20125394000.0,152061000.0,116948000.0,11343852000.0,918148000.0,2229672000.0,-2828536000.0,226041000.0,2639671000.0,2627860000.0,-118861000.0,6992998000.0,9488662000.0,520000000.0,7890972000.0,408004000.0,2754950000.0,5192336000.0,3569089000.0,1221659000.0,,
2019-12-31,742186000.0,2107646000.0,7553490000.0,10357866000.0,433310000.0,243999000.0,18344666000.0,152061000.0,148728000.0,11115056000.0,723538000.0,2201063000.0,-3016897000.0,112169000.0,1534605000.0,2463774000.0,-302966000.0,6269678000.0,8226370000.0,793200000.0,7414617000.0,300040000.0,2400902000.0,4215341000.0,3842095000.0,1085298000.0,20000000.0,
2018-12-31,828504000.0,2073715000.0,7718620000.0,9792078000.0,409890000.0,221600000.0,17920588000.0,152061000.0,152111000.0,10337445000.0,679044000.0,2184336000.0,-2771143000.0,66835000.0,1398886000.0,2806300000.0,-304133000.0,5334748000.0,8636265000.0,869900000.0,6779238000.0,,2531768000.0,4233276000.0,4553500000.0,1338391000.0,,700000.0
2017-12-31,914646000.0,2021339000.0,6756470000.0,8739036000.0,345752000.0,204031000.0,15841258000.0,151960000.0,122585000.0,8463709000.0,689464000.0,2196058000.0,-1897972000.0,62887000.0,949104000.0,2824764000.0,-254681000.0,5093147000.0,6824420000.0,750100000.0,5628332000.0,50000000.0,2241045000.0,3242242000.0,3461686000.0,1042146000.0,500000000.0,600000.0
