,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,146316000000.0,130175000000.0,346521000000.0,161673000000.0,17567000000.0,8832000000.0,17738000000.0,525761000000.0,7621000000.0,13080000000.0,37457000000.0,107106000000.0,135259000000.0,-13580000000.0,36919000000.0,9740000000.0,63438000000.0,3281000000.0,4330000000.0,152029000000.0,52008000000.0,3230000000.0,-119902000000.0,29000000.0,23745000000.0,151928000000.0,3592000000.0,31836000000.0
2019-12-31,157617000000.0,126279000000.0,349735000000.0,184221000000.0,17713000000.0,9430000000.0,16830000000.0,551669000000.0,7621000000.0,12320000000.0,57936000000.0,107711000000.0,146241000000.0,-7615000000.0,35177000000.0,12130000000.0,68911000000.0,11672000000.0,5470000000.0,154167000000.0,54761000000.0,3706000000.0,-119637000000.0,,25816000000.0,149437000000.0,2864000000.0,29640000000.0
2018-12-31,163827000000.0,125525000000.0,337980000000.0,184089000000.0,9795000000.0,9523000000.0,19747000000.0,531864000000.0,7621000000.0,12241000000.0,58753000000.0,104708000000.0,146370000000.0,-7810000000.0,32522000000.0,5204000000.0,64420000000.0,7190000000.0,4249000000.0,131473000000.0,51427000000.0,6245000000.0,-126108000000.0,,29164000000.0,166941000000.0,2771000000.0,27018000000.0
2017-12-31,114276000000.0,89563000000.0,302090000000.0,140861000000.0,1146000000.0,,12046000000.0,444097000000.0,6495000000.0,6751000000.0,50500000000.0,93408000000.0,105449000000.0,-5697000000.0,18427000000.0,50498000000.0,81389000000.0,38372000000.0,7017000000.0,125222000000.0,79146000000.0,1577000000.0,-78864000000.0,,18303000000.0,127293000000.0,2225000000.0,24439000000.0
