,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable
2020-03-31,3064000000.0,8153000000.0,7636194000000.0,511192000000.0,33413000000.0,8147386000000.0,15149000000.0,72473000000.0,453024000000.0,139390000000.0,34866000000.0,5090231000000.0,576348000000.0,7118966000000.0,6611000000.0,44488000000.0,39460000000.0,650137000000.0,2364494000000.0,508128000000.0,377838000000.0,6896744000000.0
2019-03-31,4487000000.0,8153000000.0,7715933000000.0,537817000000.0,32490000000.0,8253750000000.0,15149000000.0,63132000000.0,445459000000.0,145059000000.0,69056000000.0,4959764000000.0,763344000000.0,7026801000000.0,947000000.0,78457000000.0,39588000000.0,828851000000.0,2421060000000.0,533330000000.0,544073000000.0,6800289000000.0
2018-03-31,5914000000.0,8153000000.0,7928762000000.0,538533000000.0,34087000000.0,8467295000000.0,15149000000.0,71036000000.0,433053000000.0,142328000000.0,82178000000.0,4923505000000.0,777680000000.0,6842234000000.0,837000000.0,89578000000.0,39887000000.0,850543000000.0,2647446000000.0,532619000000.0,944200000000.0,6631081000000.0
2017-03-31,7479000000.0,8153000000.0,7769034000000.0,514974000000.0,34024000000.0,8284008000000.0,15149000000.0,58992000000.0,422805000000.0,104050000000.0,68867000000.0,4631063000000.0,805603000000.0,6642953000000.0,824000000.0,80983000000.0,41580000000.0,866939000000.0,2736947000000.0,507495000000.0,1022031000000.0,6412467000000.0
