,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable
2020-12-31,11899000.0,3297305000.0,4921157000.0,2304160000.0,222310000.0,88439000.0,7607624000.0,771000.0,211765000.0,172812000.0,-993916000.0,39892000.0,798329000.0,752134000.0,428777000.0,-993916000.0,6368542000.0,1165163000.0,22128000.0,2292261000.0,159780000.0,3862598000.0,224041000.0
2019-12-31,15697000.0,3166522000.0,4019102000.0,2375344000.0,240549000.0,84676000.0,6794992000.0,759000.0,211233000.0,179639000.0,-791937000.0,32158000.0,127432000.0,337179000.0,,-791937000.0,6227166000.0,491367000.0,28604000.0,2359647000.0,152572000.0,3356594000.0,252503000.0
2018-12-31,15285000.0,3004442000.0,3686106000.0,2185894000.0,257647000.0,81307000.0,6289644000.0,745000.0,250418000.0,200773000.0,-819293000.0,47005000.0,64087000.0,256129000.0,,-819293000.0,5743753000.0,456742000.0,26859000.0,2170609000.0,142237000.0,3157685000.0,174822000.0
2017-12-31,53886000.0,2855321000.0,3743084000.0,2106709000.0,265965000.0,79231000.0,6275755000.0,733000.0,183895000.0,186055000.0,-749345000.0,30429000.0,15188000.0,272263000.0,,-749345000.0,5758517000.0,408982000.0,23941000.0,2052823000.0,209877000.0,3213210000.0,193032000.0
