,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable
2020-03-31,6651000000.0,70427000000.0,95032000000.0,351462000000.0,1055000000.0,28099000000.0,447549000000.0,36654000000.0,12456000000.0,235961000000.0,31405000000.0,8420000000.0,15099000000.0,39534000000.0,63627000000.0,15098000000.0,17763000000.0,107221000000.0,155532000000.0,163046000000.0,344811000000.0,17405000000.0,74346000000.0,11791000000.0,8934000000.0
2019-03-31,6373000000.0,70226000000.0,98245000000.0,349829000000.0,3926000000.0,27779000000.0,452000000000.0,36642000000.0,12422000000.0,212447000000.0,35908000000.0,30514000000.0,13895000000.0,29908000000.0,62337000000.0,13892000000.0,33368000000.0,100642000000.0,175762000000.0,155328000000.0,343456000000.0,44400000000.0,78461000000.0,10571000000.0,9149000000.0
2018-03-31,6888000000.0,70226000000.0,95382000000.0,336997000000.0,3163000000.0,26376000000.0,435542000000.0,36642000000.0,12478000000.0,204941000000.0,34748000000.0,25188000000.0,11883000000.0,32263000000.0,60634000000.0,11881000000.0,28038000000.0,95845000000.0,177189000000.0,143737000000.0,330109000000.0,43703000000.0,78617000000.0,10128000000.0,7731000000.0
2017-03-31,7758000000.0,70220000000.0,103278000000.0,319533000000.0,3259000000.0,29826000000.0,426070000000.0,36642000000.0,16875000000.0,193391000000.0,29760000000.0,19280000000.0,11531000000.0,27470000000.0,69237000000.0,11529000000.0,21970000000.0,97302000000.0,182483000000.0,126996000000.0,311775000000.0,49199000000.0,81168000000.0,7771000000.0,11177000000.0
