,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable
2020-12-31,28890000.0,3000458000.0,6459724000.0,2547779000.0,388345000.0,47126000.0,9395848000.0,1314000.0,18885000.0,-354900000.0,119470000.0,-99093000.0,112846000.0,109124000.0,669987000.0,-99093000.0,8134849000.0,421819000.0,697444000.0,2518889000.0,293810000.0,5382628000.0,130012000.0
2019-12-31,29574000.0,2868681000.0,5610683000.0,2539961000.0,381733000.0,45264000.0,8532377000.0,1295000.0,4987000.0,-301049000.0,101368000.0,-28966000.0,93301000.0,65746000.0,156646000.0,-28966000.0,7950915000.0,120533000.0,338054000.0,2510387000.0,43586000.0,5077886000.0,111382000.0
2018-12-31,10762000.0,2640705000.0,5062556000.0,2413724000.0,371698000.0,45197000.0,7847978000.0,1271000.0,15194000.0,-262902000.0,102252000.0,34650000.0,123166000.0,57496000.0,146658000.0,34650000.0,7473710000.0,115014000.0,125326000.0,2402962000.0,,4813646000.0,101461000.0
2017-12-31,14471000.0,2569485000.0,4737146000.0,2350751000.0,373056000.0,5816000.0,7460953000.0,1260000.0,30361000.0,-253284000.0,81017000.0,33290000.0,120844000.0,55683000.0,101903000.0,33290000.0,7104714000.0,145017000.0,75907000.0,2336280000.0,20608000.0,4554226000.0,96087000.0
