,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Deferred Long Term Liab
2020-03-31,1454000000.0,18386000000.0,287576000000.0,141174000000.0,125000000.0,82586000000.0,428875000000.0,30449000000.0,2819000000.0,87066000000.0,5715000000.0,5273000000.0,6159000000.0,43621000000.0,257003000000.0,6158000000.0,10000000000.0,5646000000.0,79928000000.0,320264000000.0,21070000000.0,139720000000.0,74000000.0,258907000000.0,24858000000.0,14843000000.0,118816000000.0,
2019-03-31,1345000000.0,18386000000.0,257267000000.0,126516000000.0,56000000.0,74632000000.0,383839000000.0,30449000000.0,3411000000.0,69143000000.0,5031000000.0,8538000000.0,2921000000.0,36204000000.0,221274000000.0,2917000000.0,,8921000000.0,81065000000.0,273764000000.0,24744000000.0,125171000000.0,58000000.0,217296000000.0,30962000000.0,16795000000.0,115309000000.0,3000000.0
2018-03-31,1400000000.0,18386000000.0,306794000000.0,111970000000.0,59000000.0,91032000000.0,418823000000.0,30449000000.0,5887000000.0,54247000000.0,5453000000.0,8888000000.0,115000000.0,65706000000.0,268987000000.0,92000000.0,10000000000.0,9214000000.0,78390000000.0,315598000000.0,23320000000.0,110570000000.0,,223254000000.0,32354000000.0,20751000000.0,140329000000.0,21000000.0
2017-03-31,1406000000.0,18386000000.0,275868000000.0,96376000000.0,67000000.0,71185000000.0,372311000000.0,30449000000.0,6945000000.0,39841000000.0,4927000000.0,7700000000.0,379000000.0,72463000000.0,235351000000.0,336000000.0,,7726000000.0,72701000000.0,277205000000.0,20620000000.0,94970000000.0,,180701000000.0,35590000000.0,17096000000.0,137875000000.0,40000000.0
