,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory
2020-12-31,79393000000.0,88867000000.0,1530295000000.0,486486000000.0,2555000000.0,2184000000.0,37547000000.0,2019336000000.0,62718000000.0,9313000000.0,308012000000.0,127469000000.0,3430000000.0,26889000000.0,3076000000.0,95051000000.0,87474000000.0,890000000.0,43796000000.0,29496000000.0,1520482000000.0,248290000000.0,164665000000.0,403663000000.0,7228000000.0,1315352000000.0,136698000000.0
2019-12-31,85156000000.0,88957000000.0,1314417000000.0,459093000000.0,2762000000.0,633000000.0,35246000000.0,1776272000000.0,62718000000.0,7511000000.0,267934000000.0,127695000000.0,3336000000.0,39484000000.0,1576000000.0,48727000000.0,96952000000.0,941000000.0,35868000000.0,41794000000.0,1344547000000.0,183941000000.0,157716000000.0,370601000000.0,10119000000.0,1089770000000.0,117584000000.0
2018-12-31,21933000000.0,78783000000.0,1122289000000.0,400737000000.0,3397000000.0,460000000.0,29158000000.0,1526423000000.0,62718000000.0,2399000000.0,227660000000.0,112578000000.0,4026000000.0,31576000000.0,1413000000.0,32387000000.0,87640000000.0,950000000.0,42796000000.0,32703000000.0,1163346000000.0,188018000000.0,147687000000.0,374778000000.0,4388000000.0,922071000000.0,148844000000.0
2017-12-31,22564000000.0,78783000000.0,973283000000.0,375404000000.0,3450000000.0,66000000.0,28421000000.0,1352137000000.0,62718000000.0,4361000000.0,193697000000.0,113573000000.0,4055000000.0,40206000000.0,886000000.0,28217000000.0,160036000000.0,818000000.0,84957000000.0,41332000000.0,1005164000000.0,164913000000.0,154555000000.0,348785000000.0,5685000000.0,699674000000.0,126650000000.0
