,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Minority Interest
2020-03-31,57561000000.0,104153000000.0,4022625000000.0,1294998000000.0,231642000000.0,5317623000000.0,122805000000.0,54452000000.0,1002633000000.0,308242000000.0,65407000000.0,30068000000.0,195360000000.0,622045000000.0,30067000000.0,201844000000.0,69880000000.0,3740255000000.0,916034000000.0,573705000000.0,1237437000000.0,17345000000.0,3092338000000.0,648877000000.0,36392000000.0,
2019-03-31,56751000000.0,104153000000.0,3919349000000.0,1208115000000.0,219302000000.0,5127464000000.0,122805000000.0,59427000000.0,882815000000.0,296750000000.0,98342000000.0,14810000000.0,172191000000.0,577372000000.0,14809000000.0,271916000000.0,102811000000.0,3531010000000.0,933011000000.0,591882000000.0,1151364000000.0,21494000000.0,3045227000000.0,679899000000.0,54939000000.0,
2018-03-31,54752000000.0,104153000000.0,4071927000000.0,1114974000000.0,248028000000.0,5186901000000.0,122805000000.0,77692000000.0,765325000000.0,316355000000.0,122691000000.0,12205000000.0,263209000000.0,668638000000.0,12204000000.0,325161000000.0,127134000000.0,3370353000000.0,1147911000000.0,601680000000.0,1060222000000.0,23706000000.0,3086934000000.0,783304000000.0,28750000000.0,
2017-03-31,53802000000.0,132747000000.0,3940937000000.0,1007346000000.0,232937000000.0,4980039000000.0,122805000000.0,64564000000.0,662801000000.0,291105000000.0,88993000000.0,12024000000.0,269312000000.0,658046000000.0,12023000000.0,312580000000.0,93372000000.0,3162476000000.0,1197507000000.0,554230000000.0,953544000000.0,18420000000.0,2991786000000.0,845211000000.0,41373000000.0,31756000000.0
