,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Short Term Investments
2020-12-31,298500000.0,747800000.0,23860600000.0,3084400000.0,702200000.0,3673500000.0,27647200000.0,44600000.0,1075000000.0,8190600000.0,1339600000.0,9609700000.0,-5898600000.0,255000000.0,5600500000.0,15525100000.0,-1213800000.0,1808600000.0,15590100000.0,85300000.0,-6823800000.0,7813400000.0,5807300000.0,1101200000.0,11513000000.0,,
2019-12-31,338200000.0,760900000.0,23202400000.0,2853900000.0,727100000.0,3249400000.0,26783400000.0,44600000.0,1188800000.0,7806300000.0,1322800000.0,9440500000.0,-5757900000.0,251500000.0,4305700000.0,15980900000.0,-1197600000.0,2061700000.0,14584700000.0,106800000.0,-6924800000.0,7829000000.0,4531900000.0,1257600000.0,11768400000.0,602400000.0,3600000.0
2018-12-31,382800000.0,728800000.0,21265800000.0,2547100000.0,804100000.0,3246800000.0,24617000000.0,44600000.0,1241400000.0,7016100000.0,1469800000.0,9384300000.0,-5242400000.0,307700000.0,3652400000.0,15270200000.0,-1228500000.0,694400000.0,13726900000.0,120900000.0,-7220000000.0,7666100000.0,4436900000.0,1161500000.0,11464300000.0,499600000.0,5500000.0
2017-12-31,368400000.0,828300000.0,21596600000.0,2615100000.0,719500000.0,3476500000.0,24931200000.0,44600000.0,1125200000.0,6210600000.0,1456500000.0,9337500000.0,-4468400000.0,298100000.0,3796000000.0,15108900000.0,-963000000.0,690900000.0,14116000000.0,120300000.0,-7090800000.0,8083800000.0,4952300000.0,1110600000.0,11574600000.0,,400000.0
