,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,6367000000.0,42825000000.0,1379800000000.0,817891000000.0,32606000000.0,371038000000.0,2230297000000.0,57752000000.0,22754000000.0,587012000000.0,103091000000.0,130302000000.0,3957000000.0,315027000000.0,1090170000000.0,1846000000.0,7631000000.0,132423000000.0,572190000000.0,1333757000000.0,314026000000.0,811524000000.0,7103000000.0,861381000000.0,186097000000.0,127492000000.0,655839000000.0
2019-03-31,4997000000.0,42540000000.0,1416365000000.0,768943000000.0,29204000000.0,345152000000.0,2214512000000.0,57752000000.0,20210000000.0,498195000000.0,127558000000.0,170456000000.0,3529000000.0,168698000000.0,1095184000000.0,1761000000.0,20079000000.0,172588000000.0,544558000000.0,1282866000000.0,378562000000.0,763946000000.0,6980000000.0,963395000000.0,193423000000.0,123583000000.0,671137000000.0
2018-03-31,5038000000.0,43135000000.0,1437338000000.0,684835000000.0,26688000000.0,352090000000.0,2148861000000.0,57752000000.0,39081000000.0,404840000000.0,149780000000.0,179108000000.0,1537000000.0,190055000000.0,1118905000000.0,659000000.0,19557000000.0,181037000000.0,526270000000.0,1228372000000.0,387644000000.0,679797000000.0,4615000000.0,855165000000.0,168484000000.0,139456000000.0,658482000000.0
2017-03-31,6558000000.0,41752000000.0,1371921000000.0,594159000000.0,49916000000.0,321572000000.0,2015996000000.0,57752000000.0,34141000000.0,334957000000.0,141083000000.0,159698000000.0,4013000000.0,194585000000.0,1078684000000.0,1987000000.0,31832000000.0,161662000000.0,459597000000.0,1181645000000.0,364183000000.0,587601000000.0,2519000000.0,819303000000.0,152028000000.0,131097000000.0,635697000000.0
