,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,18701000000.0,42503000000.0,1018709000000.0,952939000000.0,180442000000.0,86424000000.0,2152090000000.0,40644000000.0,71634000000.0,924729000000.0,164553000000.0,4573000000.0,-54937000000.0,59492000000.0,321427000000.0,603193000000.0,58502000000.0,95504000000.0,761922000000.0,1119539000000.0,187863000000.0,929665000000.0,402673000000.0,234642000000.0,323805000000.0,361945000000.0
2019-03-31,18321000000.0,42129000000.0,1014560000000.0,929781000000.0,186553000000.0,90439000000.0,2130894000000.0,40644000000.0,60043000000.0,871845000000.0,165957000000.0,7058000000.0,-24837000000.0,55920000000.0,328114000000.0,626328000000.0,54938000000.0,125648000000.0,731344000000.0,1112570000000.0,205681000000.0,904402000000.0,416897000000.0,214985000000.0,307516000000.0,387237000000.0
2018-03-31,16618000000.0,42127000000.0,981012000000.0,919585000000.0,166923000000.0,89111000000.0,2067520000000.0,40644000000.0,91121000000.0,785096000000.0,158910000000.0,10093000000.0,51718000000.0,23772000000.0,346818000000.0,619636000000.0,22291000000.0,123080000000.0,705854000000.0,1095170000000.0,216013000000.0,892874000000.0,381152000000.0,196777000000.0,276079000000.0,379994000000.0
2017-03-31,16997000000.0,42081000000.0,918720000000.0,818437000000.0,143669000000.0,83951000000.0,1880826000000.0,40644000000.0,83048000000.0,704664000000.0,158567000000.0,2643000000.0,31048000000.0,32673000000.0,275234000000.0,556336000000.0,31169000000.0,102412000000.0,681582000000.0,957404000000.0,189527000000.0,798797000000.0,343150000000.0,197953000000.0,255972000000.0,362312000000.0
