,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Inventory,Accounts Payable,Other Current Assets,Short Term Investments
2021-01-30,2465000.0,847303000.0,3090420000.0,1999549000.0,316912000.0,5089969000.0,569000.0,1189422000.0,103321000.0,10870000.0,-37745000.0,58274000.0,1046051000.0,1343713000.0,56000.0,2500409000.0,2514777000.0,3174000.0,1986214000.0,193109000.0,1168215000.0,477052000.0,,
2020-02-01,3391000.0,807492000.0,2961778000.0,1902094000.0,237535000.0,4863872000.0,573000.0,1128477000.0,125799000.0,10870000.0,-34448000.0,47269000.0,392325000.0,1137261000.0,,2743089000.0,2055317000.0,3936000.0,1887833000.0,139337000.0,1293701000.0,414009000.0,16387000.0,110000000.0
2019-02-02,4317000.0,738671000.0,1370954000.0,1820218000.0,231139000.0,3191172000.0,592000.0,1105863000.0,547218000.0,10870000.0,-24908000.0,32994000.0,409251000.0,823736000.0,,1226029000.0,1914861000.0,2101000.0,1805031000.0,136168000.0,1214329000.0,404016000.0,16997000.0,
2018-02-03,,698917000.0,1134470000.0,1774217000.0,127237000.0,2908687000.0,614000.0,1093453000.0,492304000.0,,-18767000.0,25491000.0,277445000.0,642166000.0,,1189453000.0,1693743000.0,,1774217000.0,99719000.0,1096424000.0,325758000.0,1489000.0,120000000.0
