,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,14784000000.0,39545000000.0,32784000000.0,219000000.0,1160000000.0,72548000000.0,24145000000.0,90000000.0,27627000000.0,8209000000.0,23744000000.0,-18988000000.0,2784000000.0,6838000000.0,11907000000.0,2418000000.0,7000000.0,-8946000000.0,10130000000.0,20441000000.0,665000000.0,-5744000000.0,310000000.0,6414000000.0,18527000000.0,5012000000.0,3946000000.0
2019-12-31,17025000000.0,36586000000.0,31088000000.0,213000000.0,861000000.0,67887000000.0,23853000000.0,148000000.0,25847000000.0,8307000000.0,23195000000.0,-18612000000.0,2443000000.0,3860000000.0,10863000000.0,2097000000.0,1277000000.0,-8465000000.0,8972000000.0,15667000000.0,585000000.0,-9132000000.0,280000000.0,5425000000.0,16661000000.0,4316000000.0,3252000000.0
2018-12-31,18942000000.0,36451000000.0,30524000000.0,198000000.0,868000000.0,67173000000.0,23512000000.0,114000000.0,24560000000.0,8080000000.0,23254000000.0,-17548000000.0,2192000000.0,3844000000.0,9012000000.0,1885000000.0,7000000.0,-7586000000.0,7563000000.0,14632000000.0,590000000.0,-11672000000.0,242000000.0,5182000000.0,19359000000.0,3796000000.0,2975000000.0
2017-12-31,21473000000.0,45152000000.0,30897000000.0,201000000.0,798000000.0,76250000000.0,23206000000.0,158000000.0,23978000000.0,9030000000.0,24020000000.0,-16287000000.0,2483000000.0,9407000000.0,8912000000.0,1944000000.0,508000000.0,-6062000000.0,7607000000.0,20147000000.0,520000000.0,-14596000000.0,203000000.0,5249000000.0,27210000000.0,3601000000.0,2402000000.0
