,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Capital Surplus,Other Current Assets
2020-12-31,14000000000.0,126750000000.0,65491000000.0,5048000000.0,22369000000.0,197289000000.0,10000000.0,69295000000.0,12100000000.0,71337000000.0,-3814000000.0,31586000000.0,16921000000.0,72420000000.0,3523000000.0,-3814000000.0,5482000000.0,49642000000.0,25242000000.0,-19846000000.0,2860000000.0,25404000000.0,38648000000.0,44367000000.0,,
2019-12-31,13320000000.0,111727000000.0,57616000000.0,4546000000.0,17217000000.0,173889000000.0,9000000.0,61178000000.0,13137000000.0,65659000000.0,-3578000000.0,26410000000.0,10985000000.0,61782000000.0,3470000000.0,-3578000000.0,5733000000.0,39558000000.0,23209000000.0,-21363000000.0,3260000000.0,21462000000.0,36808000000.0,40695000000.0,7000000.0,16567000000.0
2018-12-31,12025000000.0,95994000000.0,51696000000.0,4531000000.0,14640000000.0,152221000000.0,10000000.0,55846000000.0,8204000000.0,58910000000.0,-4160000000.0,8346000000.0,10866000000.0,53209000000.0,1973000000.0,-4160000000.0,5758000000.0,35660000000.0,31522000000.0,-19239000000.0,3458000000.0,18250000000.0,34581000000.0,36596000000.0,,12980000000.0
2017-12-31,10884000000.0,87036000000.0,47776000000.0,4246000000.0,14555000000.0,139058000000.0,10000000.0,48730000000.0,7738000000.0,54556000000.0,-2667000000.0,7541000000.0,11981000000.0,50463000000.0,2707000000.0,-2667000000.0,4618000000.0,33983000000.0,27476000000.0,-17664000000.0,3509000000.0,15830000000.0,28835000000.0,33051000000.0,1703000000.0,
