,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2020-03-31,6890000000.0,40300000000.0,372822000000.0,332968000000.0,21479000000.0,168000000.0,55379000000.0,727269000000.0,58435000000.0,11353000000.0,245980000000.0,27056000000.0,524000000.0,-11747000000.0,14910000000.0,41226000000.0,199336000000.0,14516000000.0,898000000.0,330042000000.0,303956000000.0,70947000000.0,325554000000.0,157635000000.0,144420000000.0,93742000000.0,92620000000.0,
2019-03-31,6463000000.0,40355000000.0,385734000000.0,330146000000.0,24406000000.0,163000000.0,54791000000.0,740286000000.0,58435000000.0,15020000000.0,235671000000.0,34258000000.0,643000000.0,-4315000000.0,12569000000.0,32903000000.0,226063000000.0,12151000000.0,8483000000.0,331316000000.0,315699000000.0,73596000000.0,323040000000.0,171012000000.0,124275000000.0,96764000000.0,102223000000.0,10000000000.0
2018-03-31,5006000000.0,38291000000.0,406268000000.0,316024000000.0,20837000000.0,156000000.0,60986000000.0,743129000000.0,58435000000.0,21250000000.0,211065000000.0,37960000000.0,,8233000000.0,6901000000.0,49059000000.0,253098000000.0,6518000000.0,11191000000.0,334262000000.0,323400000000.0,73560000000.0,311018000000.0,162162000000.0,114121000000.0,90929000000.0,104532000000.0,10010000000.0
2017-03-31,5371000000.0,38091000000.0,398978000000.0,287222000000.0,23179000000.0,112000000.0,54957000000.0,709379000000.0,58435000000.0,18283000000.0,185747000000.0,34196000000.0,,4949000000.0,7959000000.0,36634000000.0,245828000000.0,7521000000.0,5675000000.0,331443000000.0,295041000000.0,69565000000.0,281851000000.0,157322000000.0,117665000000.0,82802000000.0,92342000000.0,15020000000.0
