,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2020-03-31,40747000000.0,322985000000.0,673641000000.0,544201000000.0,5958000000.0,133000000.0,219723000000.0,1223800000000.0,50790000000.0,39011000000.0,183644000000.0,188182000000.0,15000000.0,-13218000000.0,10474000000.0,74301000000.0,381313000000.0,10110000000.0,6086000000.0,734972000000.0,272313000000.0,165279000000.0,503439000000.0,1718000000.0,115705000000.0,104146000000.0,41578000000.0,79742000000.0,
2019-03-31,43202000000.0,322770000000.0,661714000000.0,577607000000.0,8106000000.0,161000000.0,227519000000.0,1247427000000.0,50573000000.0,38545000000.0,202040000000.0,178710000000.0,23000000.0,2224000000.0,10416000000.0,47345000000.0,372704000000.0,9975000000.0,11524000000.0,739754000000.0,268251000000.0,185781000000.0,534382000000.0,405000000.0,135123000000.0,110300000000.0,46833000000.0,106486000000.0,
2018-03-31,52570000000.0,322807000000.0,696118000000.0,578424000000.0,9666000000.0,132000000.0,235226000000.0,1284208000000.0,50461000000.0,43296000000.0,193239000000.0,195335000000.0,6794000000.0,11917000000.0,2332000000.0,55710000000.0,401483000000.0,1866000000.0,21211000000.0,744624000000.0,282163000000.0,195725000000.0,519060000000.0,380000000.0,130888000000.0,99300000000.0,51889000000.0,113119000000.0,10000000000.0
2017-03-31,63132000000.0,322699000000.0,729996000000.0,570804000000.0,8977000000.0,51000000.0,220501000000.0,1309777000000.0,50328000000.0,58037000000.0,195184000000.0,197297000000.0,14345000000.0,2593000000.0,3991000000.0,61722000000.0,443399000000.0,3000000000.0,11879000000.0,728471000000.0,311433000000.0,188405000000.0,493327000000.0,953000000.0,131095000000.0,89300000000.0,59626000000.0,115712000000.0,
