,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2021-03-31,97912000000.0,19469000000.0,1198761000000.0,1081880000000.0,32716000000.0,262331000000.0,2313357000000.0,132166000000.0,56349000000.0,861746000000.0,187719000000.0,68499000000.0,184414000000.0,166762000000.0,322784000000.0,25933000000.0,70351000000.0,1070610000000.0,583347000000.0,377074000000.0,983968000000.0,321000000.0,265728000000.0,688258000000.0,94187000000.0,60453000000.0,
2020-03-31,98322000000.0,19483000000.0,1112816000000.0,997492000000.0,30174000000.0,183298000000.0,2140482000000.0,132166000000.0,47007000000.0,802313000000.0,146754000000.0,43530000000.0,25982000000.0,147201000000.0,312312000000.0,,45332000000.0,1014572000000.0,560019000000.0,441587000000.0,899170000000.0,,257719000000.0,653750000000.0,108092000000.0,59363000000.0,68069000000.0
2019-03-31,127633000000.0,19222000000.0,994679000000.0,1004339000000.0,30704000000.0,206455000000.0,2029722000000.0,132166000000.0,45618000000.0,782523000000.0,129060000000.0,70428000000.0,22863000000.0,116289000000.0,353212000000.0,,72172000000.0,889392000000.0,532194000000.0,457640000000.0,876706000000.0,,257960000000.0,512407000000.0,112327000000.0,66087000000.0,56768000000.0
2018-03-31,79743000000.0,19222000000.0,876417000000.0,999569000000.0,29229000000.0,176286000000.0,1905215000000.0,132166000000.0,46806000000.0,769801000000.0,144033000000.0,78380000000.0,1000000.0,171529000000.0,324145000000.0,,80043000000.0,881822000000.0,514596000000.0,429053000000.0,919826000000.0,,219400000000.0,408239000000.0,76861000000.0,58542000000.0,66305000000.0
