,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable
2020-08-31,7167227000.0,19579420000.0,17000536000.0,498637000.0,723168000.0,4115725000.0,37078593000.0,72000.0,1393225000.0,12375533000.0,4195194000.0,7709820000.0,-2542296000.0,6565589000.0,8415330000.0,12662590000.0,4153146000.0,7820000.0,23465000.0,4728914000.0,17749756000.0,324514000.0,9290716000.0,94309000.0,7846892000.0,54052000.0,1349874000.0
2019-08-31,5804448000.0,14962189000.0,14409008000.0,418683000.0,681492000.0,3617873000.0,29789880000.0,72000.0,1225364000.0,10421538000.0,3884046000.0,6205550000.0,-1817050000.0,6502250000.0,6126853000.0,11061896000.0,4349464000.0,6411000.0,-428674000.0,1391166000.0,15450601000.0,240313000.0,8203458000.0,3313000.0,8095071000.0,16247000.0,1646641000.0
2018-08-31,4870764000.0,13724495000.0,10364753000.0,359835000.0,705124000.0,3458892000.0,24449083000.0,72000.0,1024639000.0,7952413000.0,3553068000.0,5383012000.0,-2458496000.0,4000960000.0,5061360000.0,10151751000.0,2086807000.0,5337000.0,-341548000.0,1264020000.0,13585559000.0,215532000.0,4981741000.0,3192000.0,7496368000.0,19676000.0,1348802000.0
2017-08-31,3516399000.0,12979690000.0,8949477000.0,760723000.0,755871000.0,3464875000.0,22689890000.0,71000.0,1082161000.0,7081855000.0,3133248000.0,5002352000.0,-1648848000.0,4238041000.0,4126860000.0,9824279000.0,2214901000.0,2907000.0,242000.0,1140598000.0,12097289000.0,211610000.0,3947125000.0,3011000.0,6885257000.0,22163000.0,1525065000.0
