,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable
2020-03-31,30789000000.0,125316000000.0,15396988000000.0,1116817000000.0,6332000000.0,16520137000000.0,207111000000.0,982932000000.0,603589000000.0,15001802000000.0,180801000000.0,2106529000000.0,861770000000.0,170016000000.0,78022000000.0,10792000000.0,227001000000.0,380633000000.0,1980681000000.0,12021505000000.0,1086028000000.0,135979000000.0,225170000000.0,151808000000.0
2019-03-31,28467000000.0,156740000000.0,14635125000000.0,1154195000000.0,5391000000.0,15794711000000.0,207111000000.0,767752000000.0,564944000000.0,14312116000000.0,225400000000.0,1941806000000.0,824241000000.0,171613000000.0,54925000000.0,11283000000.0,290263000000.0,369465000000.0,1719589000000.0,11735384000000.0,1125728000000.0,127596000000.0,151396000000.0,153649000000.0
2018-03-31,26862000000.0,156785000000.0,14109363000000.0,1148640000000.0,4395000000.0,15262398000000.0,207111000000.0,688955000000.0,516585000000.0,13782115000000.0,268159000000.0,1911476000000.0,776510000000.0,176286000000.0,44753000000.0,11175000000.0,314862000000.0,363245000000.0,1583783000000.0,11377032000000.0,1121778000000.0,118318000000.0,150962000000.0,158177000000.0
2017-03-31,23195000000.0,194522000000.0,13794396000000.0,1094034000000.0,2737000000.0,14891167000000.0,207111000000.0,587011000000.0,460683000000.0,13511314000000.0,231718000000.0,1954701000000.0,862425000000.0,180222000000.0,49143000000.0,11838000000.0,299481000000.0,319884000000.0,1591434000000.0,11001953000000.0,1070839000000.0,141998000000.0,102860000000.0,164788000000.0
