,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Inventory,Accounts Payable
2020-06-30,843000000.0,1080000000.0,42620000000.0,39174000000.0,36536000000.0,81794000000.0,931000000.0,5563000000.0,38014000000.0,562000000.0,-851000000.0,2349000000.0,24723000000.0,42058000000.0,2347000000.0,126000000.0,7914000000.0,70002000000.0,686000000.0,38331000000.0,5654000000.0,34062000000.0,4985000000.0
2019-06-30,462000000.0,1080000000.0,18949000000.0,31106000000.0,16309000000.0,50055000000.0,931000000.0,3590000000.0,29985000000.0,516000000.0,-890000000.0,1115000000.0,13185000000.0,18433000000.0,1113000000.0,87000000.0,8054000000.0,39841000000.0,583000000.0,30644000000.0,4308000000.0,18758000000.0,1843000000.0
2018-06-30,534000000.0,1080000000.0,11069000000.0,27052000000.0,9161000000.0,38121000000.0,931000000.0,2964000000.0,25765000000.0,290000000.0,-724000000.0,934000000.0,10176000000.0,10779000000.0,932000000.0,252000000.0,6601000000.0,29387000000.0,665000000.0,26518000000.0,3815000000.0,12432000000.0,1392000000.0
2017-06-30,173000000.0,1080000000.0,8542000000.0,24477000000.0,6492000000.0,33019000000.0,931000000.0,2415000000.0,23209000000.0,214000000.0,-743000000.0,101000000.0,9805000000.0,8328000000.0,100000000.0,233000000.0,6676000000.0,25439000000.0,630000000.0,24304000000.0,5419000000.0,7800000000.0,1627000000.0
