,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Other Assets,Cash,Total Current Liabilities,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Other Current Assets,Good Will,Short Long Term Debt
2020-12-31,226451000.0,1043122000.0,3326288000.0,8711000.0,4369410000.0,11706000.0,3088131000.0,476761000.0,107640000.0,401430000.0,373130000.0,3018431000.0,1243339000.0,3326288000.0,330274000.0,454222000.0,99931000.0,68511000.0,,,
2019-12-31,218462000.0,914851000.0,3080717000.0,2847000.0,3995568000.0,11953000.0,2850302000.0,447666000.0,94599000.0,403571000.0,366085000.0,3034135000.0,866834000.0,3080717000.0,,408165000.0,45000000.0,70254000.0,,,
2018-12-31,142176000.0,864800000.0,2680483000.0,356732000.0,3545283000.0,8123000.0,2530184000.0,463068000.0,64648000.0,190282000.0,356732000.0,2754943000.0,706229000.0,2661020000.0,,468260000.0,45000000.0,78518000.0,515947000.0,19463000.0,
2017-12-31,138359000.0,791570000.0,2276854000.0,301049000.0,3068424000.0,8238000.0,2130257000.0,395521000.0,59849000.0,127462000.0,351049000.0,2404459000.0,584653000.0,2257391000.0,,415781000.0,45000000.0,73729000.0,,19463000.0,50000000.0
