,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Good Will,Short Long Term Debt
2020-03-31,16370000000.0,19986000000.0,158819000000.0,210266000000.0,40367000000.0,21229000000.0,409452000000.0,22994000000.0,9923000000.0,158872000000.0,32969000000.0,8414000000.0,11825000000.0,62827000000.0,92704000000.0,5980000000.0,8855000000.0,113230000000.0,227635000000.0,40392000000.0,193896000000.0,1500000000.0,84335000000.0,32546000000.0,69050000000.0,46125000000.0,,
2019-03-31,17596000000.0,20023000000.0,170051000000.0,204579000000.0,39919000000.0,25577000000.0,414549000000.0,22944000000.0,8423000000.0,148630000000.0,30623000000.0,12982000000.0,8767000000.0,58585000000.0,107156000000.0,4438000000.0,13807000000.0,108672000000.0,233087000000.0,46427000000.0,186983000000.0,3006000000.0,92969000000.0,31429000000.0,70104000000.0,56296000000.0,,
2018-03-31,4051000000.0,19985000000.0,107833000000.0,196619000000.0,8468000000.0,18588000000.0,312920000000.0,22944000000.0,8140000000.0,135988000000.0,23887000000.0,17702000000.0,3980000000.0,49669000000.0,75816000000.0,2785000000.0,18256000000.0,85546000000.0,166841000000.0,52473000000.0,192539000000.0,7763000000.0,55056000000.0,7349000000.0,46213000000.0,38599000000.0,29000000.0,300000000.0
2017-03-31,3893000000.0,19926000000.0,102530000000.0,180076000000.0,7879000000.0,14148000000.0,290485000000.0,22899000000.0,7523000000.0,124520000000.0,22424000000.0,12731000000.0,4900000000.0,51374000000.0,67845000000.0,3347000000.0,13321000000.0,80121000000.0,155901000000.0,45581000000.0,176094000000.0,5822000000.0,49980000000.0,11767000000.0,41202000000.0,33145000000.0,89000000.0,8000000.0
