,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Minority Interest,Short Long Term Debt,Short Term Investments
2020-03-31,11441000000.0,34910000000.0,134843000000.0,302775000000.0,41512000000.0,437618000000.0,26648000000.0,8808000000.0,245254000000.0,15817000000.0,-4037000000.0,13491000000.0,70868000000.0,115474000000.0,13341000000.0,-2618000000.0,97775000000.0,285640000000.0,29271000000.0,291334000000.0,118092000000.0,30000000.0,87872000000.0,60189000000.0,,,
2019-03-31,10830000000.0,34927000000.0,149249000000.0,287894000000.0,38842000000.0,437190000000.0,26648000000.0,9110000000.0,222801000000.0,13396000000.0,3518000000.0,12575000000.0,73641000000.0,133278000000.0,12400000000.0,4933000000.0,92880000000.0,290906000000.0,29999000000.0,277064000000.0,124687000000.0,247000000.0,83468000000.0,66610000000.0,47000000.0,15000000000.0,
2018-03-31,9234000000.0,35188000000.0,151705000000.0,267693000000.0,42189000000.0,419764000000.0,26648000000.0,18596000000.0,198038000000.0,12251000000.0,7819000000.0,3249000000.0,76926000000.0,121967000000.0,3089000000.0,9229000000.0,84136000000.0,293885000000.0,29260000000.0,258459000000.0,117708000000.0,15501000000.0,80635000000.0,66589000000.0,366000000.0,,20000000.0
2017-03-31,8396000000.0,35188000000.0,133727000000.0,241330000000.0,34451000000.0,375354000000.0,26648000000.0,17947000000.0,174391000000.0,12174000000.0,5103000000.0,4335000000.0,56698000000.0,104147000000.0,4160000000.0,5988000000.0,78751000000.0,263080000000.0,20792000000.0,232934000000.0,111735000000.0,15648000000.0,76700000000.0,57263000000.0,297000000.0,,
