,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2021-03-31,3125000000.0,13380000000.0,212726000000.0,537827000000.0,31610000000.0,18571000000.0,782163000000.0,14270000000.0,32241000000.0,480214000000.0,40568000000.0,29963000000.0,7757000000.0,303887000000.0,171928000000.0,7755000000.0,30015000000.0,171615000000.0,538416000000.0,61250000000.0,534702000000.0,128537000000.0,230000000.0,73751000000.0,103856000000.0
2020-03-31,3193000000.0,13373000000.0,216193000000.0,480733000000.0,32789000000.0,23685000000.0,729715000000.0,14270000000.0,34506000000.0,449031000000.0,42148000000.0,4059000000.0,14713000000.0,271774000000.0,173690000000.0,14711000000.0,4112000000.0,170082000000.0,492150000000.0,49577000000.0,477540000000.0,120326000000.0,355000000.0,65544000000.0,94429000000.0
2019-03-31,3183000000.0,16759000000.0,234613000000.0,461581000000.0,41981000000.0,24186000000.0,738175000000.0,14270000000.0,28180000000.0,407725000000.0,42373000000.0,22827000000.0,13623000000.0,287803000000.0,183265000000.0,13621000000.0,22882000000.0,158769000000.0,513569000000.0,49031000000.0,458398000000.0,130954000000.0,8975000000.0,66632000000.0,105895000000.0
2018-03-31,2419000000.0,16716000000.0,228117000000.0,410347000000.0,34460000000.0,32125000000.0,672924000000.0,14270000000.0,29374000000.0,350903000000.0,37942000000.0,28458000000.0,3804000000.0,260644000000.0,177092000000.0,3802000000.0,28512000000.0,133935000000.0,481291000000.0,51475000000.0,407928000000.0,128980000000.0,13083000000.0,62293000000.0,102974000000.0
