,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Deferred Long Term Liab
2020-12-31,12656000000.0,7815000000.0,8794000000.0,1010000000.0,707000000.0,17619000000.0,2000000.0,5000000.0,-3864000000.0,952000000.0,270000000.0,104000000.0,1236000000.0,73000000.0,191000000.0,16214000000.0,602000000.0,533000000.0,8794000000.0,437000000.0,5624000000.0,33000000.0,71000000.0,
2019-12-31,12357000000.0,8625000000.0,13249000000.0,1657000000.0,795000000.0,23531000000.0,2000000.0,51000000.0,890000000.0,1991000000.0,348000000.0,123000000.0,1263000000.0,142000000.0,,21835000000.0,869000000.0,479000000.0,13249000000.0,634000000.0,5371000000.0,37000000.0,179000000.0,
2018-12-31,12936000000.0,7429000000.0,13700000000.0,467000000.0,654000000.0,21596000000.0,2000000.0,236000000.0,762000000.0,1946000000.0,298000000.0,215000000.0,1019000000.0,97000000.0,,20372000000.0,925000000.0,1000000.0,13700000000.0,430000000.0,4464000000.0,37000000.0,128000000.0,28000000.0
2017-12-31,5291011000.0,2189248000.0,5254860000.0,326877000.0,421809000.0,7770985000.0,982000.0,1911000.0,-37133000.0,134473000.0,68767000.0,112446000.0,577428000.0,,,7343617000.0,358601000.0,,5254860000.0,231613000.0,1477347000.0,9108000.0,94590000.0,16700000.0
