,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2021-03-31,17111000000.0,112001000000.0,280518000000.0,759947000000.0,78439000000.0,1040465000000.0,63201000000.0,9760000000.0,678792000000.0,6784000000.0,-94047000000.0,17640000000.0,197317000000.0,121370000000.0,17639000000.0,33859000000.0,14724000000.0,665557000000.0,274134000000.0,66023000000.0,742836000000.0,33495000000.0,12032000000.0,152364000000.0,21530000000.0,9072000000.0
2020-03-31,16334000000.0,111970000000.0,190395000000.0,820256000000.0,81994000000.0,1010651000000.0,63201000000.0,8266000000.0,744452000000.0,7412000000.0,-99367000000.0,1000000.0,261164000000.0,100495000000.0,,4580000000.0,9958000000.0,610586000000.0,316741000000.0,66989000000.0,803922000000.0,19999000000.0,7225000000.0,82488000000.0,20087000000.0,13921000000.0
2019-03-31,13770000000.0,111938000000.0,248255000000.0,803200000000.0,108626000000.0,1051455000000.0,63201000000.0,3884000000.0,696718000000.0,11299000000.0,-68657000000.0,1000000.0,377551000000.0,154652000000.0,,26119000000.0,20526000000.0,514322000000.0,441835000000.0,81527000000.0,789430000000.0,20999000000.0,22078000000.0,82304000000.0,17323000000.0,19907000000.0
2018-03-31,8865000000.0,111911000000.0,193588000000.0,721976000000.0,101221000000.0,915564000000.0,63201000000.0,9526000000.0,619599000000.0,15226000000.0,-72735000000.0,1000000.0,296350000000.0,123623000000.0,,4845000000.0,17059000000.0,473578000000.0,365545000000.0,67575000000.0,713111000000.0,21709000000.0,19988000000.0,54739000000.0,17972000000.0,17557000000.0
