,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,16872000000.0,2722000000.0,175816000000.0,49348000000.0,2801000000.0,93000000.0,46863000000.0,227965000000.0,2667000000.0,30856000000.0,48644000000.0,13699000000.0,15756000000.0,-4685000000.0,3157000000.0,34052000000.0,111843000000.0,3062000000.0,35419000000.0,-2019000000.0,22570000000.0,138323000000.0,31287000000.0,16720000000.0,50108000000.0,50274000000.0,23307000000.0,8741000000.0
2019-03-31,3160000000.0,2869000000.0,93971000000.0,52241000000.0,2265000000.0,34000000.0,33881000000.0,148477000000.0,2667000000.0,25825000000.0,52730000000.0,8252000000.0,9152000000.0,-6025000000.0,1516000000.0,27320000000.0,46184000000.0,1479000000.0,1950000000.0,666000000.0,17274000000.0,87347000000.0,30028000000.0,39929000000.0,16293000000.0,39535000000.0,17909000000.0,3842000000.0
2018-03-31,2439000000.0,2871000000.0,83421000000.0,42299000000.0,508000000.0,52000000.0,29720000000.0,126228000000.0,2667000000.0,23933000000.0,43369000000.0,6805000000.0,8521000000.0,-6608000000.0,381000000.0,27933000000.0,43210000000.0,326000000.0,1738000000.0,448000000.0,8254000000.0,77466000000.0,29167000000.0,31339000000.0,14868000000.0,33406000000.0,10732000000.0,3866000000.0
2017-03-31,1662000000.0,2871000000.0,59607000000.0,39350000000.0,390000000.0,12000000.0,27176000000.0,99347000000.0,2667000000.0,23987000000.0,36342000000.0,6647000000.0,8862000000.0,-2530000000.0,484000000.0,13309000000.0,45720000000.0,471000000.0,1695000000.0,716000000.0,7486000000.0,56580000000.0,24273000000.0,28826000000.0,12054000000.0,7240000000.0,7230000000.0,3425000000.0
