,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Short Long Term Debt
2020-12-31,2766000000.0,6893000000.0,2885000000.0,134000000.0,1173000000.0,9912000000.0,38000000.0,438000000.0,208000000.0,909000000.0,753000000.0,-127000000.0,283000000.0,2047000000.0,1440000000.0,-127000000.0,5616000000.0,3260000000.0,2132000000.0,775000000.0,4298000000.0,242000000.0,
2019-12-31,2735000000.0,7797000000.0,5802000000.0,118000000.0,1467000000.0,13717000000.0,38000000.0,1508000000.0,3148000000.0,1332000000.0,753000000.0,-119000000.0,277000000.0,1464000000.0,1927000000.0,-119000000.0,8836000000.0,3851000000.0,5049000000.0,879000000.0,4294000000.0,428000000.0,
2018-12-31,4486000000.0,10380000000.0,9186000000.0,,1518000000.0,19566000000.0,45000000.0,1211000000.0,3650000000.0,3862000000.0,753000000.0,1005000000.0,5914000000.0,2414000000.0,2226000000.0,1027000000.0,8462000000.0,4437000000.0,8433000000.0,812000000.0,4292000000.0,530000000.0,162000000.0
2017-12-31,7333000000.0,16137000000.0,9254000000.0,4850000000.0,2407000000.0,30241000000.0,53000000.0,1159000000.0,702000000.0,6073000000.0,841000000.0,1166000000.0,10025000000.0,2642000000.0,3315000000.0,1166000000.0,14584000000.0,4791000000.0,8413000000.0,989000000.0,6749000000.0,633000000.0,179000000.0
