,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2021-03-31,11130000000.0,28139000000.0,703662000000.0,246498000000.0,12069000000.0,62758000000.0,962229000000.0,72983000000.0,13369000000.0,102427000000.0,111351000000.0,42949000000.0,3269000000.0,41856000000.0,171613000000.0,3218000000.0,43300000000.0,805293000000.0,101068000000.0,41469000000.0,235368000000.0,25992000000.0,420698000000.0,19851000000.0,20665000000.0,
2020-03-31,10828000000.0,28117000000.0,669055000000.0,244413000000.0,11590000000.0,73767000000.0,925058000000.0,72983000000.0,15301000000.0,108690000000.0,109762000000.0,34623000000.0,3361000000.0,17874000000.0,197867000000.0,3271000000.0,34973000000.0,806561000000.0,73221000000.0,31087000000.0,233585000000.0,19423000000.0,361426000000.0,20623000000.0,19877000000.0,10000000000.0
2019-03-31,8219000000.0,28105000000.0,676825000000.0,230855000000.0,10705000000.0,67052000000.0,918385000000.0,72983000000.0,21105000000.0,91301000000.0,107647000000.0,38466000000.0,3084000000.0,18359000000.0,177951000000.0,2983000000.0,38626000000.0,792422000000.0,80856000000.0,33804000000.0,222636000000.0,23104000000.0,391227000000.0,18288000000.0,20807000000.0,20000000000.0
2018-03-31,9140000000.0,28105000000.0,671024000000.0,221855000000.0,10978000000.0,75027000000.0,903857000000.0,72983000000.0,13319000000.0,81593000000.0,113121000000.0,39174000000.0,2565000000.0,20723000000.0,191266000000.0,2434000000.0,39320000000.0,776694000000.0,79749000000.0,35709000000.0,212715000000.0,17236000000.0,366637000000.0,28471000000.0,20332000000.0,
