,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Intangible Assets,Short Long Term Debt
2020-12-31,9128599000.0,9184454000.0,10488371000.0,576786000.0,232262000.0,20286891000.0,3723000.0,57137000.0,1399715000.0,405544000.0,-43666000.0,336285000.0,42591000.0,838092000.0,-43666000.0,19756785000.0,141039000.0,52782000.0,10488371000.0,41311000.0,7629426000.0,107366000.0,,
2019-12-31,8965577000.0,10164843000.0,10278226000.0,692420000.0,218326000.0,21172769000.0,3717000.0,71246000.0,1386495000.0,417025000.0,-77563000.0,299130000.0,45753000.0,1397361000.0,-77563000.0,20672907000.0,148494000.0,52238000.0,10278226000.0,31495000.0,8019123000.0,94350000.0,,
2018-12-31,8935453000.0,9615454000.0,10135924000.0,605551000.0,206601000.0,20394209000.0,3694000.0,68871000.0,1261763000.0,413693000.0,-64986000.0,326485000.0,47442000.0,1330407000.0,-64986000.0,19724832000.0,118313000.0,58349000.0,9969694000.0,,7871354000.0,102471000.0,166230000.0,459530000.0
2017-12-31,8886586000.0,9729781000.0,10205184000.0,598354000.0,192828000.0,20570599000.0,3680000.0,50115000.0,1403530000.0,405264000.0,-88612000.0,348141000.0,50647000.0,666983000.0,-88612000.0,19887555000.0,105905000.0,58254000.0,10034440000.0,,8657534000.0,114766000.0,170744000.0,1597000.0
