,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Inventory,Accounts Payable,Long Term Debt
2020-03-31,3525000000.0,14571000000.0,74867000000.0,106954000000.0,11760000000.0,42353000000.0,193581000000.0,12533000000.0,5057000000.0,102355000000.0,4784000000.0,115000000.0,-22505000000.0,4707000000.0,57024000000.0,70083000000.0,4705000000.0,217000000.0,-12104000000.0,34188000000.0,140884000000.0,10162000000.0,103314000000.0,59484000000.0,19319000000.0,20311000000.0,
2019-03-31,3661000000.0,14569000000.0,70768000000.0,102847000000.0,11075000000.0,38697000000.0,184690000000.0,12533000000.0,5005000000.0,96087000000.0,4306000000.0,213000000.0,-20342000000.0,3394000000.0,52244000000.0,66241000000.0,3389000000.0,256000000.0,-9711000000.0,33948000000.0,131181000000.0,12293000000.0,98973000000.0,52641000000.0,21291000000.0,21396000000.0,221000000.0
2018-03-31,3710000000.0,14568000000.0,71396000000.0,100426000000.0,11396000000.0,39429000000.0,183218000000.0,12533000000.0,7829000000.0,94381000000.0,4140000000.0,319000000.0,-21056000000.0,322000000.0,49856000000.0,66821000000.0,104000000.0,524000000.0,-5973000000.0,34388000000.0,130856000000.0,13623000000.0,96397000000.0,51309000000.0,21862000000.0,20864000000.0,435000000.0
2017-03-31,3465000000.0,14568000000.0,69160000000.0,92625000000.0,11222000000.0,37390000000.0,173007000000.0,12533000000.0,7974000000.0,87955000000.0,3880000000.0,428000000.0,-22431000000.0,562000000.0,45749000000.0,64103000000.0,54000000.0,329000000.0,-7231000000.0,34495000000.0,123038000000.0,11019000000.0,88732000000.0,48655000000.0,20660000000.0,19677000000.0,1177000000.0
