,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable
2020-03-31,46457000000.0,54884000000.0,11549980000000.0,991547000000.0,1245000000.0,57041000000.0,12542772000000.0,90845000000.0,68849000000.0,721793000000.0,184812000000.0,124025000000.0,9296316000000.0,1384218000000.0,10627043000000.0,3074000000.0,154150000000.0,63025000000.0,1467496000000.0,1669478000000.0,945090000000.0,738125000000.0,10105519000000.0
2019-03-31,38658000000.0,54884000000.0,10837958000000.0,1015456000000.0,1357000000.0,78399000000.0,11854771000000.0,90845000000.0,83853000000.0,705966000000.0,190563000000.0,163761000000.0,8964405000000.0,1221342000000.0,10295572000000.0,2664000000.0,195403000000.0,67063000000.0,1341664000000.0,1442981000000.0,976798000000.0,351823000000.0,9919323000000.0
2018-03-31,36637000000.0,54884000000.0,10539917000000.0,991415000000.0,1392000000.0,84393000000.0,11532724000000.0,90845000000.0,89562000000.0,702591000000.0,219840000000.0,143095000000.0,8624764000000.0,1051482000000.0,9883068000000.0,2382000000.0,195278000000.0,71228000000.0,1160473000000.0,1639622000000.0,954778000000.0,437009000000.0,9624934000000.0
2017-03-31,31991000000.0,54884000000.0,10120066000000.0,933577000000.0,1140000000.0,90071000000.0,11054783000000.0,90845000000.0,79959000000.0,664459000000.0,173357000000.0,123389000000.0,8326223000000.0,1118843000000.0,9593938000000.0,2071000000.0,165892000000.0,76064000000.0,1230900000000.0,1389605000000.0,901586000000.0,352771000000.0,9364381000000.0
