,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable
2020-12-31,34958000.0,11179688000.0,31128608000.0,2997381000.0,618766000.0,169651000.0,2117108000.0,34786846000.0,34000.0,324989000.0,-6102314000.0,417813000.0,20098000.0,-2080027000.0,169651000.0,1011613000.0,5827458000.0,2322729000.0,-188675000.0,23671173000.0,2573336000.0,8317630000.0,2942325000.0,1236734000.0,24400632000.0,1283234000.0
2019-12-31,75754000.0,9756073000.0,28101319000.0,2483978000.0,603913000.0,209277000.0,1570094000.0,31231630000.0,32000.0,351782000.0,-5379952000.0,430804000.0,20098000.0,-1892175000.0,209277000.0,669373000.0,2990476000.0,,-118604000.0,24413379000.0,1853306000.0,4659816000.0,2388126000.0,832151000.0,24163230000.0,1345882000.0
2018-12-31,130638000.0,9700418000.0,26659104000.0,3253933000.0,730438000.0,249010000.0,1536911000.0,30686223000.0,32000.0,375663000.0,-4893069000.0,483997000.0,20098000.0,-1553448000.0,249010000.0,514335000.0,2869572000.0,,-126017000.0,24208131000.0,1653813000.0,4424533000.0,3103197000.0,763815000.0,23305535000.0,1250161000.0
2017-12-31,188459000.0,9614748000.0,27828394000.0,3643091000.0,743076000.0,250442000.0,1408778000.0,32257638000.0,32000.0,584190000.0,-4782173000.0,530263000.0,20098000.0,-1189516000.0,250442000.0,1482309000.0,2665668000.0,2060959000.0,-110453000.0,24457515000.0,2809171000.0,4531953000.0,3434534000.0,742672000.0,24632463000.0,1175090000.0
