,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,66944000000.0,336631000000.0,185420000000.0,4475000000.0,132774000000.0,526526000000.0,51115000000.0,7978000000.0,40452000000.0,53545000000.0,68807000000.0,93853000000.0,4068000000.0,33754000000.0,217674000000.0,4064000000.0,14992000000.0,97588000000.0,150601000000.0,209557000000.0,26549000000.0,49669000000.0,4254000000.0,42563000000.0,65412000000.0,121008000000.0,47908000000.0
2019-12-31,62773000000.0,396800000000.0,124006000000.0,3800000000.0,182546000000.0,524606000000.0,51115000000.0,9074000000.0,46399000000.0,50708000000.0,66516000000.0,26492000000.0,4078000000.0,27695000000.0,272553000000.0,4074000000.0,16755000000.0,32811000000.0,149038000000.0,218409000000.0,23792000000.0,-5283000000.0,5464000000.0,55314000000.0,73539000000.0,120862000000.0,54851000000.0
2018-12-31,65396000000.0,414257000000.0,111113000000.0,3053000000.0,202047000000.0,528423000000.0,51115000000.0,9658000000.0,37498000000.0,34819000000.0,68854000000.0,22500000000.0,4325000000.0,27368000000.0,314537000000.0,4317000000.0,36887000000.0,31071000000.0,128686000000.0,244029000000.0,17133000000.0,-23137000000.0,6836000000.0,69441000000.0,62288000000.0,130726000000.0,56833000000.0
2017-12-31,69313000000.0,457392000000.0,107617000000.0,2402000000.0,88864000000.0,567411000000.0,51115000000.0,10632000000.0,26227000000.0,136872000000.0,73347000000.0,30275000000.0,6088000000.0,64973000000.0,159958000000.0,6082000000.0,17063000000.0,40001000000.0,133983000000.0,267979000000.0,16701000000.0,-35043000000.0,8652000000.0,60741000000.0,156706000000.0,122981000000.0,47717000000.0
