,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Short Long Term Debt
2020-12-31,10441000000.0,2410000000.0,131527000000.0,33559000000.0,8955000000.0,165086000000.0,135000000.0,2363000000.0,37984000000.0,110366000000.0,-6970000000.0,11946000000.0,5141000000.0,13318000000.0,8934000000.0,601000000.0,9439000000.0,132659000000.0,33559000000.0,1139000000.0,796000000.0,7745000000.0,3343000000.0,
2019-12-31,10128000000.0,2313000000.0,123809000000.0,28959000000.0,10199000000.0,152768000000.0,135000000.0,2221000000.0,34291000000.0,100506000000.0,-7780000000.0,10735000000.0,4896000000.0,17082000000.0,6615000000.0,581000000.0,8576000000.0,122748000000.0,28959000000.0,628000000.0,828000000.0,6060000000.0,4659000000.0,348000000.0
2018-12-31,9875000000.0,2177000000.0,116944000000.0,23462000000.0,9496000000.0,140406000000.0,135000000.0,2128000000.0,31788000000.0,96033000000.0,-10638000000.0,8014000000.0,4337000000.0,15133000000.0,2151000000.0,443000000.0,7471000000.0,114603000000.0,23462000000.0,152000000.0,851000000.0,5765000000.0,4584000000.0,1000000.0
2017-12-31,9505000000.0,2052000000.0,112619000000.0,24598000000.0,11178000000.0,137217000000.0,135000000.0,2008000000.0,29895000000.0,91154000000.0,-7484000000.0,3996000000.0,3491000000.0,16176000000.0,4028000000.0,434000000.0,6383000000.0,116899000000.0,24598000000.0,57000000.0,827000000.0,5289000000.0,4392000000.0,
