,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Short Long Term Debt
2020-03-31,304111000000.0,553163000000.0,20702419000000.0,2452875000000.0,41161000000.0,23196455000000.0,100000000000.0,1666494000000.0,1019468000000.0,17516632000000.0,138584000000.0,780244000000.0,2690317000000.0,1846225000000.0,2178313000000.0,219385000000.0,864676000000.0,488331000000.0,4080532000000.0,15494580000000.0,2010180000000.0,407722000000.0,160091000000.0,1007474000000.0,2149921000000.0,
2019-03-31,342027000000.0,553168000000.0,20354493000000.0,2751303000000.0,26743000000.0,23132539000000.0,100000000000.0,1544406000000.0,962385000000.0,17229262000000.0,203423000000.0,1135750000000.0,2473532000000.0,1474306000000.0,2367757000000.0,59317000000.0,1168289000000.0,463356000000.0,3588330000000.0,16061871000000.0,2205853000000.0,472377000000.0,97241000000.0,757474000000.0,2222637000000.0,98386000000.0
2018-03-31,320281000000.0,554320000000.0,19504541000000.0,2941677000000.0,26709000000.0,22472927000000.0,100000000000.0,1043506000000.0,849044000000.0,16468197000000.0,229221000000.0,1438313000000.0,2328859000000.0,1481694000000.0,2281372000000.0,68026000000.0,1440912000000.0,459624000000.0,2981976000000.0,16152966000000.0,2392175000000.0,316643000000.0,140133000000.0,754972000000.0,2213650000000.0,16000000.0
2017-03-31,253741000000.0,669458000000.0,18499869000000.0,2709284000000.0,25147000000.0,21234300000000.0,100000000000.0,971119000000.0,775877000000.0,15822310000000.0,163415000000.0,1163949000000.0,2254926000000.0,1419267000000.0,2024570000000.0,55660000000.0,1283999000000.0,464955000000.0,2794160000000.0,15303103000000.0,2292128000000.0,292454000000.0,111320000000.0,652989000000.0,1982354000000.0,26000000.0
