,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Deferred Long Term Liab
2021-03-31,195565000000.0,105179000000.0,1142098000000.0,1096054000000.0,17915000000.0,122788000000.0,2256067000000.0,87784000000.0,46869000000.0,1016591000000.0,87530000000.0,320020000000.0,-113500000000.0,25873000000.0,219524000000.0,629668000000.0,15022000000.0,75596000000.0,-49631000000.0,662659000000.0,1024112000000.0,27838000000.0,580469000000.0,10556000000.0,450532000000.0,424900000000.0,296631000000.0,400307000000.0,
2020-03-31,119835000000.0,114754000000.0,1144055000000.0,949703000000.0,20287000000.0,165717000000.0,2114045000000.0,87784000000.0,10057000000.0,926029000000.0,75735000000.0,356273000000.0,-178864000000.0,46271000000.0,206986000000.0,696950000000.0,16878000000.0,105414000000.0,-115114000000.0,633394000000.0,933611000000.0,24661000000.0,473595000000.0,913000000.0,426406000000.0,349416000000.0,278185000000.0,260917000000.0,19116000000.0
2019-03-31,128669000000.0,118314000000.0,864379000000.0,996795000000.0,22834000000.0,130446000000.0,1884008000000.0,87784000000.0,12362000000.0,900768000000.0,70658000000.0,250940000000.0,-110071000000.0,37099000000.0,242267000000.0,533693000000.0,11968000000.0,95048000000.0,-64775000000.0,520509000000.0,919548000000.0,27243000000.0,617186000000.0,695000000.0,398147000000.0,259199000000.0,255732000000.0,247996000000.0,14883000000.0
2018-03-31,115888000000.0,118136000000.0,830808000000.0,932501000000.0,9890000000.0,89117000000.0,1773199000000.0,87784000000.0,19313000000.0,822589000000.0,64219000000.0,234915000000.0,-96008000000.0,27008000000.0,265947000000.0,451958000000.0,11055000000.0,29295000000.0,-76857000000.0,450488000000.0,916729000000.0,28171000000.0,581698000000.0,1718000000.0,391143000000.0,313854000000.0,227766000000.0,290012000000.0,8525000000.0
