,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable
2021-03-31,13620000000.0,50070000000.0,249216000000.0,715868000000.0,817000000.0,81448000000.0,965901000000.0,26783000000.0,17123000000.0,635916000000.0,66433000000.0,4593000000.0,3099000000.0,25955000000.0,300888000000.0,182783000000.0,25951000000.0,545000000.0,13138000000.0,285792000000.0,610017000000.0,25924000000.0,697655000000.0,1399000000.0,182939000000.0,107668000000.0,100790000000.0
2020-03-31,10198000000.0,50271000000.0,231697000000.0,689446000000.0,757000000.0,70994000000.0,921900000000.0,26783000000.0,17895000000.0,643521000000.0,69802000000.0,4852000000.0,-31129000000.0,25698000000.0,304922000000.0,161895000000.0,25694000000.0,,-3624000000.0,283214000000.0,576056000000.0,21882000000.0,674396000000.0,2642000000.0,154473000000.0,96124000000.0,90811000000.0
2019-03-31,12393000000.0,50319000000.0,212231000000.0,700443000000.0,744000000.0,61143000000.0,913418000000.0,26783000000.0,19689000000.0,622025000000.0,53753000000.0,6834000000.0,1316000000.0,26551000000.0,297682000000.0,158478000000.0,26548000000.0,,12397000000.0,267133000000.0,581536000000.0,18971000000.0,681216000000.0,412000000.0,169768000000.0,93985000000.0,96887000000.0
2018-03-31,12355000000.0,55981000000.0,243802000000.0,693278000000.0,716000000.0,73013000000.0,937796000000.0,26783000000.0,21315000000.0,665561000000.0,56626000000.0,6927000000.0,-55047000000.0,28298000000.0,304709000000.0,187176000000.0,28295000000.0,3000000000.0,14820000000.0,248417000000.0,622027000000.0,19772000000.0,673996000000.0,8815000000.0,192120000000.0,95068000000.0,110114000000.0
