,Intangible Assets,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-09-30,225900000.0,2445652000.0,2232268000.0,40746000.0,916182000.0,4677920000.0,305453000.0,74213000.0,1945531000.0,449611000.0,1858966000.0,-18716000.0,166720000.0,849556000.0,1288279000.0,45173000.0,19275000.0,-18716000.0,529919000.0,1793476000.0,102939000.0,147402000.0,360333000.0,434279000.0,369047000.0,27898000.0,64472000.0
2019-09-30,108903000.0,1628778000.0,1761497000.0,31218000.0,838831000.0,3390275000.0,142597000.0,54416000.0,1638090000.0,523252000.0,1065379000.0,-19190000.0,122579000.0,599219000.0,1105526000.0,27701000.0,,-19190000.0,223426000.0,1511586000.0,358402000.0,587215000.0,373063000.0,401436000.0,,34401000.0,62627000.0
2018-09-30,31259000.0,1319984000.0,1285492000.0,,743353000.0,2605476000.0,20427000.0,12795000.0,1287243000.0,365551000.0,555965000.0,-22178000.0,44368000.0,424707000.0,954433000.0,33441000.0,,-22178000.0,145042000.0,1417658000.0,411184000.0,698268000.0,614705000.0,295352000.0,,30568000.0,57757000.0
2017-09-30,42554000.0,1247097000.0,1229392000.0,,719664000.0,2476489000.0,17627000.0,67538000.0,1229762000.0,312554000.0,555965000.0,-17997000.0,64524000.0,673228000.0,934543000.0,53303000.0,,-17997000.0,122420000.0,1406224000.0,284802000.0,630873000.0,343700000.0,291924000.0,,29834000.0,50760000.0
