,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Good Will,Short Term Investments
2021-03-31,1729000000.0,12987000000.0,144792000000.0,219807000000.0,1933000000.0,36435000000.0,366532000000.0,12561000000.0,9453000000.0,195601000000.0,6580000000.0,-1342000000.0,4764000000.0,50905000000.0,125361000000.0,3507000000.0,-1334000000.0,80698000000.0,212574000000.0,66767000000.0,218078000000.0,130687000000.0,10140000000.0,21529000000.0,87152000000.0,,
2020-03-31,1466000000.0,12982000000.0,171039000000.0,195612000000.0,1831000000.0,39446000000.0,368482000000.0,12561000000.0,9726000000.0,177642000000.0,13410000000.0,-7573000000.0,7750000000.0,55851000000.0,142723000000.0,6539000000.0,-7565000000.0,82625000000.0,216269000000.0,60190000000.0,193964000000.0,139728000000.0,11890000000.0,9957000000.0,101478000000.0,182000000.0,1007000000.0
2019-03-31,986000000.0,13012000000.0,175095000000.0,180318000000.0,1858000000.0,30700000000.0,357271000000.0,12561000000.0,6792000000.0,159401000000.0,16695000000.0,-4656000000.0,6901000000.0,41017000000.0,142144000000.0,5720000000.0,-4646000000.0,83750000000.0,206268000000.0,59023000000.0,178989000000.0,150589000000.0,13660000000.0,7850000000.0,109454000000.0,343000000.0,20000000.0
2018-03-31,943000000.0,12853000000.0,161014000000.0,161450000000.0,2689000000.0,23904000000.0,325153000000.0,12555000000.0,6665000000.0,139809000000.0,19208000000.0,-3767000000.0,3366000000.0,35189000000.0,130226000000.0,2433000000.0,-3759000000.0,85164000000.0,182640000000.0,52540000000.0,160007000000.0,127593000000.0,8983000000.0,13167000000.0,98738000000.0,500000000.0,26000000.0
