,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,41326000000.0,166678000000.0,1893124000000.0,583289000000.0,10956000000.0,213000000.0,163833000000.0,2487369000000.0,77562000000.0,58896000000.0,325509000000.0,305025000000.0,71710000000.0,13540000000.0,23320000000.0,97644000000.0,480616000000.0,21799000000.0,20000000000.0,13800000000.0,1151389000000.0,889046000000.0,310578000000.0,470253000000.0,24417000000.0,35819000000.0,1107483000000.0,672270000000.0,51783000000.0
2019-03-31,36163000000.0,166675000000.0,1836552000000.0,561405000000.0,7292000000.0,355000000.0,195213000000.0,2405249000000.0,77562000000.0,55590000000.0,298411000000.0,294270000000.0,77131000000.0,18757000000.0,19219000000.0,185091000000.0,435750000000.0,18596000000.0,20000000000.0,19124000000.0,1106201000000.0,872740000000.0,293795000000.0,448111000000.0,17480000000.0,33678000000.0,1106532000000.0,580901000000.0,45765000000.0
2018-03-31,24945000000.0,119188000000.0,1701417000000.0,468140000000.0,7204000000.0,,159542000000.0,2176761000000.0,60000000000.0,62800000000.0,270095000000.0,284460000000.0,82553000000.0,18857000000.0,12531000000.0,62785000000.0,396114000000.0,12247000000.0,10000000000.0,21054000000.0,1140671000000.0,658554000000.0,257507000000.0,360642000000.0,15831000000.0,30932000000.0,1020843000000.0,486206000000.0,36977000000.0
2017-03-31,23340000000.0,118704000000.0,1620845000000.0,442320000000.0,3987000000.0,,150517000000.0,2067152000000.0,60000000000.0,61069000000.0,243131000000.0,282241000000.0,87975000000.0,20485000000.0,16595000000.0,62885000000.0,537737000000.0,13047000000.0,20000000000.0,22275000000.0,1140779000000.0,588025000000.0,210438000000.0,331005000000.0,5403000000.0,27248000000.0,800867000000.0,431420000000.0,40791000000.0
