,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable,Good Will,Short Long Term Debt,Long Term Debt
2021-03-31,9364000000.0,45559000000.0,149552000000.0,657855000000.0,5471000000.0,59394000000.0,812878000000.0,23805000000.0,10223000000.0,588644000000.0,15990000000.0,-153000000.0,22809000000.0,148640000000.0,121798000000.0,8860000000.0,11390000000.0,189366000000.0,540328000000.0,51011000000.0,648491000000.0,18227000000.0,95691000000.0,267547000000.0,59792000000.0,,,
2020-03-31,7887000000.0,45531000000.0,98816000000.0,571275000000.0,4473000000.0,36420000000.0,674564000000.0,23805000000.0,7633000000.0,540063000000.0,19440000000.0,-38124000000.0,6932000000.0,143439000000.0,79376000000.0,6932000000.0,-26570000000.0,146649000000.0,460466000000.0,51768000000.0,562526000000.0,25235000000.0,69599000000.0,214560000000.0,34959000000.0,862000000.0,,
2019-03-31,7177000000.0,45571000000.0,103028000000.0,572748000000.0,4474000000.0,40054000000.0,680250000000.0,23805000000.0,9401000000.0,508622000000.0,12110000000.0,-5250000000.0,9342000000.0,146512000000.0,90794000000.0,9342000000.0,6431000000.0,112441000000.0,493129000000.0,57299000000.0,564709000000.0,37828000000.0,79450000000.0,219938000000.0,38904000000.0,862000000.0,,
2018-03-31,3944000000.0,45531000000.0,94898000000.0,551939000000.0,4194000000.0,26348000000.0,651031000000.0,23805000000.0,16150000000.0,503125000000.0,14167000000.0,-20522000000.0,3975000000.0,190333000000.0,80598000000.0,3975000000.0,-8905000000.0,99864000000.0,496577000000.0,45950000000.0,547274000000.0,14782000000.0,79095000000.0,196217000000.0,28156000000.0,721000000.0,50000000.0,133000000.0
