,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable
2020-03-31,8440000000.0,58655000000.0,9975172000000.0,624137000000.0,6106000000.0,46840000000.0,10605415000000.0,50000000000.0,115202000000.0,508211000000.0,118178000000.0,2238000000.0,7271000000.0,7895684000000.0,971776000000.0,9667531000000.0,18425000000.0,21591000000.0,92300000000.0,1088520000000.0,1518233000000.0,613459000000.0,189463000000.0,9525934000000.0
2019-03-31,8333000000.0,58684000000.0,9643184000000.0,654692000000.0,6263000000.0,47115000000.0,10304139000000.0,50000000000.0,95662000000.0,488620000000.0,98683000000.0,2593000000.0,57388000000.0,7653793000000.0,1043994000000.0,9413942000000.0,1366000000.0,72182000000.0,93232000000.0,1141121000000.0,1405067000000.0,643766000000.0,130559000000.0,9230772000000.0
2018-03-31,8017000000.0,60882000000.0,9706099000000.0,654470000000.0,5978000000.0,44541000000.0,10366547000000.0,50000000000.0,102822000000.0,470696000000.0,99862000000.0,2927000000.0,72892000000.0,7435025000000.0,985502000000.0,9465811000000.0,1083000000.0,94999000000.0,94502000000.0,1089838000000.0,1736238000000.0,643526000000.0,140426000000.0,9355750000000.0
2017-03-31,5406000000.0,60765000000.0,9608730000000.0,611655000000.0,5396000000.0,45240000000.0,10225781000000.0,50000000000.0,106071000000.0,442258000000.0,116307000000.0,3322000000.0,58632000000.0,7147145000000.0,960386000000.0,9360854000000.0,1711000000.0,81334000000.0,91501000000.0,1069256000000.0,1909151000000.0,602927000000.0,131569000000.0,9229795000000.0
